sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
22.0,1.0,alcohol,alcohol,1803.0,1.0,
22.0,1.0,alcohol,cigarette,1803.0,1.0,
22.0,1.0,alcohol,neutral,1803.0,1.0,
23.0,1.0,alcohol,alcohol,1803.0,1.0,
23.0,1.0,alcohol,cigarette,1803.0,1.0,
23.0,1.0,alcohol,neutral,1803.0,1.0,
24.0,1.0,alcohol,alcohol,1803.0,1.0,0.5
24.0,1.0,alcohol,cigarette,1803.0,1.0,0.5
24.0,1.0,alcohol,neutral,1803.0,1.0,0.0
25.0,1.0,alcohol,alcohol,1803.0,1.0,0.5
25.0,1.0,alcohol,cigarette,1803.0,1.0,0.333333333333
25.0,1.0,alcohol,neutral,1803.0,1.0,0.166666666667
26.0,1.0,alcohol,alcohol,1803.0,1.0,0.0
26.0,1.0,alcohol,cigarette,1803.0,1.0,1.0
26.0,1.0,alcohol,neutral,1803.0,1.0,0.0
27.0,1.0,alcohol,alcohol,1803.0,1.0,
27.0,1.0,alcohol,cigarette,1803.0,1.0,
27.0,1.0,alcohol,neutral,1803.0,1.0,
28.0,1.0,alcohol,alcohol,1803.0,1.0,0.0
28.0,1.0,alcohol,cigarette,1803.0,1.0,1.0
28.0,1.0,alcohol,neutral,1803.0,1.0,0.0
29.0,1.0,alcohol,alcohol,1803.0,1.0,0.583333333333
29.0,1.0,alcohol,cigarette,1803.0,1.0,0.25
29.0,1.0,alcohol,neutral,1803.0,1.0,0.166666666667
1.0,1.0,cigarette,alcohol,1803.0,0.0,
1.0,1.0,cigarette,cigarette,1803.0,0.0,
1.0,1.0,cigarette,neutral,1803.0,0.0,
2.0,1.0,cigarette,alcohol,1803.0,0.0,
2.0,1.0,cigarette,cigarette,1803.0,0.0,
2.0,1.0,cigarette,neutral,1803.0,0.0,
3.0,1.0,cigarette,alcohol,1803.0,0.0,1.0
3.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
3.0,1.0,cigarette,neutral,1803.0,0.0,0.0
4.0,1.0,cigarette,alcohol,1803.0,0.0,
4.0,1.0,cigarette,cigarette,1803.0,0.0,
4.0,1.0,cigarette,neutral,1803.0,0.0,
5.0,1.0,cigarette,alcohol,1803.0,0.0,1.0
5.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
5.0,1.0,cigarette,neutral,1803.0,0.0,0.0
6.0,1.0,cigarette,alcohol,1803.0,0.0,0.545454545455
6.0,1.0,cigarette,cigarette,1803.0,0.0,0.181818181818
6.0,1.0,cigarette,neutral,1803.0,0.0,0.272727272727
7.0,1.0,cigarette,alcohol,1803.0,0.0,
7.0,1.0,cigarette,cigarette,1803.0,0.0,
7.0,1.0,cigarette,neutral,1803.0,0.0,
8.0,1.0,cigarette,alcohol,1803.0,0.0,
8.0,1.0,cigarette,cigarette,1803.0,0.0,
8.0,1.0,cigarette,neutral,1803.0,0.0,
9.0,1.0,cigarette,alcohol,1803.0,0.0,
9.0,1.0,cigarette,cigarette,1803.0,0.0,
9.0,1.0,cigarette,neutral,1803.0,0.0,
10.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
10.0,1.0,cigarette,cigarette,1803.0,0.0,1.0
10.0,1.0,cigarette,neutral,1803.0,0.0,0.0
11.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
11.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
11.0,1.0,cigarette,neutral,1803.0,0.0,1.0
12.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
12.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
12.0,1.0,cigarette,neutral,1803.0,0.0,1.0
13.0,1.0,cigarette,alcohol,1803.0,0.0,0.25
13.0,1.0,cigarette,cigarette,1803.0,0.0,0.125
13.0,1.0,cigarette,neutral,1803.0,0.0,0.625
14.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
14.0,1.0,cigarette,cigarette,1803.0,0.0,1.0
14.0,1.0,cigarette,neutral,1803.0,0.0,0.0
15.0,1.0,cigarette,alcohol,1803.0,0.0,1.0
15.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
15.0,1.0,cigarette,neutral,1803.0,0.0,0.0
16.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
16.0,1.0,cigarette,cigarette,1803.0,0.0,1.0
16.0,1.0,cigarette,neutral,1803.0,0.0,0.0
17.0,1.0,cigarette,alcohol,1803.0,0.0,1.0
17.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
17.0,1.0,cigarette,neutral,1803.0,0.0,0.0
18.0,1.0,cigarette,alcohol,1803.0,0.0,0.333333333333
18.0,1.0,cigarette,cigarette,1803.0,0.0,0.333333333333
18.0,1.0,cigarette,neutral,1803.0,0.0,0.333333333333
19.0,1.0,cigarette,alcohol,1803.0,0.0,
19.0,1.0,cigarette,cigarette,1803.0,0.0,
19.0,1.0,cigarette,neutral,1803.0,0.0,
20.0,1.0,cigarette,alcohol,1803.0,0.0,0.2
20.0,1.0,cigarette,cigarette,1803.0,0.0,0.4
20.0,1.0,cigarette,neutral,1803.0,0.0,0.4
21.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
21.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
21.0,1.0,cigarette,neutral,1803.0,0.0,1.0
22.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
22.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
22.0,1.0,cigarette,neutral,1803.0,0.0,1.0
23.0,1.0,cigarette,alcohol,1803.0,0.0,
23.0,1.0,cigarette,cigarette,1803.0,0.0,
23.0,1.0,cigarette,neutral,1803.0,0.0,
24.0,1.0,cigarette,alcohol,1803.0,0.0,1.0
24.0,1.0,cigarette,cigarette,1803.0,0.0,0.0
24.0,1.0,cigarette,neutral,1803.0,0.0,0.0
25.0,1.0,cigarette,alcohol,1803.0,0.0,0.25
25.0,1.0,cigarette,cigarette,1803.0,0.0,0.5
25.0,1.0,cigarette,neutral,1803.0,0.0,0.25
26.0,1.0,cigarette,alcohol,1803.0,0.0,0.571428571429
26.0,1.0,cigarette,cigarette,1803.0,0.0,0.285714285714
26.0,1.0,cigarette,neutral,1803.0,0.0,0.142857142857
27.0,1.0,cigarette,alcohol,1803.0,0.0,0.4
27.0,1.0,cigarette,cigarette,1803.0,0.0,0.6
27.0,1.0,cigarette,neutral,1803.0,0.0,0.0
28.0,1.0,cigarette,alcohol,1803.0,0.0,0.0
28.0,1.0,cigarette,cigarette,1803.0,0.0,0.333333333333
28.0,1.0,cigarette,neutral,1803.0,0.0,0.666666666667
29.0,1.0,cigarette,alcohol,1803.0,0.0,0.326086956522
29.0,1.0,cigarette,cigarette,1803.0,0.0,0.369565217391
29.0,1.0,cigarette,neutral,1803.0,0.0,0.304347826087
1.0,1.0,neutral,alcohol,1803.0,0.0,
1.0,1.0,neutral,cigarette,1803.0,0.0,
1.0,1.0,neutral,neutral,1803.0,0.0,
2.0,1.0,neutral,alcohol,1803.0,0.0,
2.0,1.0,neutral,cigarette,1803.0,0.0,
2.0,1.0,neutral,neutral,1803.0,0.0,
3.0,1.0,neutral,alcohol,1803.0,0.0,
3.0,1.0,neutral,cigarette,1803.0,0.0,
3.0,1.0,neutral,neutral,1803.0,0.0,
4.0,1.0,neutral,alcohol,1803.0,0.0,
4.0,1.0,neutral,cigarette,1803.0,0.0,
4.0,1.0,neutral,neutral,1803.0,0.0,
5.0,1.0,neutral,alcohol,1803.0,0.0,
5.0,1.0,neutral,cigarette,1803.0,0.0,
5.0,1.0,neutral,neutral,1803.0,0.0,
6.0,1.0,neutral,alcohol,1803.0,0.0,0.0
6.0,1.0,neutral,cigarette,1803.0,0.0,0.0
6.0,1.0,neutral,neutral,1803.0,0.0,1.0
7.0,1.0,neutral,alcohol,1803.0,0.0,
7.0,1.0,neutral,cigarette,1803.0,0.0,
7.0,1.0,neutral,neutral,1803.0,0.0,
8.0,1.0,neutral,alcohol,1803.0,0.0,
8.0,1.0,neutral,cigarette,1803.0,0.0,
8.0,1.0,neutral,neutral,1803.0,0.0,
9.0,1.0,neutral,alcohol,1803.0,0.0,
9.0,1.0,neutral,cigarette,1803.0,0.0,
9.0,1.0,neutral,neutral,1803.0,0.0,
10.0,1.0,neutral,alcohol,1803.0,0.0,
10.0,1.0,neutral,cigarette,1803.0,0.0,
10.0,1.0,neutral,neutral,1803.0,0.0,
11.0,1.0,neutral,alcohol,1803.0,0.0,
11.0,1.0,neutral,cigarette,1803.0,0.0,
11.0,1.0,neutral,neutral,1803.0,0.0,
12.0,1.0,neutral,alcohol,1803.0,0.0,0.0
12.0,1.0,neutral,cigarette,1803.0,0.0,0.0
12.0,1.0,neutral,neutral,1803.0,0.0,1.0
13.0,1.0,neutral,alcohol,1803.0,0.0,0.666666666667
13.0,1.0,neutral,cigarette,1803.0,0.0,0.0
13.0,1.0,neutral,neutral,1803.0,0.0,0.333333333333
14.0,1.0,neutral,alcohol,1803.0,0.0,
14.0,1.0,neutral,cigarette,1803.0,0.0,
14.0,1.0,neutral,neutral,1803.0,0.0,
15.0,1.0,neutral,alcohol,1803.0,0.0,
15.0,1.0,neutral,cigarette,1803.0,0.0,
15.0,1.0,neutral,neutral,1803.0,0.0,
16.0,1.0,neutral,alcohol,1803.0,0.0,0.0
16.0,1.0,neutral,cigarette,1803.0,0.0,0.0
16.0,1.0,neutral,neutral,1803.0,0.0,1.0
17.0,1.0,neutral,alcohol,1803.0,0.0,
17.0,1.0,neutral,cigarette,1803.0,0.0,
17.0,1.0,neutral,neutral,1803.0,0.0,
18.0,1.0,neutral,alcohol,1803.0,0.0,
18.0,1.0,neutral,cigarette,1803.0,0.0,
18.0,1.0,neutral,neutral,1803.0,0.0,
19.0,1.0,neutral,alcohol,1803.0,0.0,
19.0,1.0,neutral,cigarette,1803.0,0.0,
19.0,1.0,neutral,neutral,1803.0,0.0,
20.0,1.0,neutral,alcohol,1803.0,0.0,
20.0,1.0,neutral,cigarette,1803.0,0.0,
20.0,1.0,neutral,neutral,1803.0,0.0,
21.0,1.0,neutral,alcohol,1803.0,0.0,
21.0,1.0,neutral,cigarette,1803.0,0.0,
21.0,1.0,neutral,neutral,1803.0,0.0,
22.0,1.0,neutral,alcohol,1803.0,0.0,
22.0,1.0,neutral,cigarette,1803.0,0.0,
22.0,1.0,neutral,neutral,1803.0,0.0,
23.0,1.0,neutral,alcohol,1803.0,0.0,
23.0,1.0,neutral,cigarette,1803.0,0.0,
23.0,1.0,neutral,neutral,1803.0,0.0,
24.0,1.0,neutral,alcohol,1803.0,0.0,0.0
24.0,1.0,neutral,cigarette,1803.0,0.0,1.0
24.0,1.0,neutral,neutral,1803.0,0.0,0.0
25.0,1.0,neutral,alcohol,1803.0,0.0,1.0
25.0,1.0,neutral,cigarette,1803.0,0.0,0.0
25.0,1.0,neutral,neutral,1803.0,0.0,0.0
26.0,1.0,neutral,alcohol,1803.0,0.0,
26.0,1.0,neutral,cigarette,1803.0,0.0,
26.0,1.0,neutral,neutral,1803.0,0.0,
27.0,1.0,neutral,alcohol,1803.0,0.0,0.6
27.0,1.0,neutral,cigarette,1803.0,0.0,0.4
27.0,1.0,neutral,neutral,1803.0,0.0,0.0
28.0,1.0,neutral,alcohol,1803.0,0.0,
28.0,1.0,neutral,cigarette,1803.0,0.0,
28.0,1.0,neutral,neutral,1803.0,0.0,
29.0,1.0,neutral,alcohol,1803.0,0.0,
29.0,1.0,neutral,cigarette,1803.0,0.0,
29.0,1.0,neutral,neutral,1803.0,0.0,
