sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
21.0,4.0,ALC,cigarette,846.0,1.0,1.0,1.0
21.0,4.0,ALC,neutral,846.0,1.0,0.0,0.0
22.0,4.0,ALC,alcohol,846.0,0.0,0.0,
22.0,4.0,ALC,cigarette,846.0,0.0,0.0,
22.0,4.0,ALC,neutral,846.0,0.0,0.0,
23.0,4.0,ALC,alcohol,846.0,0.0,0.0,
23.0,4.0,ALC,cigarette,846.0,0.0,0.0,
23.0,4.0,ALC,neutral,846.0,0.0,0.0,
24.0,4.0,ALC,alcohol,846.0,0.0,0.0,
24.0,4.0,ALC,cigarette,846.0,0.0,0.0,
24.0,4.0,ALC,neutral,846.0,0.0,0.0,
25.0,4.0,ALC,alcohol,846.0,0.0,0.0,
25.0,4.0,ALC,cigarette,846.0,0.0,0.0,
25.0,4.0,ALC,neutral,846.0,0.0,0.0,
26.0,4.0,ALC,alcohol,846.0,6.0,1.0,0.166666666667
26.0,4.0,ALC,cigarette,846.0,6.0,1.0,0.166666666667
26.0,4.0,ALC,neutral,846.0,6.0,4.0,0.666666666667
27.0,4.0,ALC,alcohol,846.0,16.0,5.0,0.3125
27.0,4.0,ALC,cigarette,846.0,16.0,6.0,0.375
27.0,4.0,ALC,neutral,846.0,16.0,5.0,0.3125
28.0,4.0,ALC,alcohol,846.0,13.0,1.0,0.0769230769231
28.0,4.0,ALC,cigarette,846.0,13.0,3.0,0.230769230769
28.0,4.0,ALC,neutral,846.0,13.0,9.0,0.692307692308
29.0,4.0,ALC,alcohol,846.0,0.0,0.0,
29.0,4.0,ALC,cigarette,846.0,0.0,0.0,
29.0,4.0,ALC,neutral,846.0,0.0,0.0,
1.0,4.0,CIG,alcohol,846.0,2.0,0.0,0.0
1.0,4.0,CIG,cigarette,846.0,2.0,1.0,0.5
1.0,4.0,CIG,neutral,846.0,2.0,1.0,0.5
2.0,4.0,CIG,alcohol,846.0,6.0,2.0,0.333333333333
2.0,4.0,CIG,cigarette,846.0,6.0,0.0,0.0
2.0,4.0,CIG,neutral,846.0,6.0,4.0,0.666666666667
3.0,4.0,CIG,alcohol,846.0,19.0,9.0,0.473684210526
3.0,4.0,CIG,cigarette,846.0,19.0,3.0,0.157894736842
3.0,4.0,CIG,neutral,846.0,19.0,7.0,0.368421052632
4.0,4.0,CIG,alcohol,846.0,0.0,0.0,
4.0,4.0,CIG,cigarette,846.0,0.0,0.0,
4.0,4.0,CIG,neutral,846.0,0.0,0.0,
5.0,4.0,CIG,alcohol,846.0,3.0,1.0,0.333333333333
5.0,4.0,CIG,cigarette,846.0,3.0,2.0,0.666666666667
5.0,4.0,CIG,neutral,846.0,3.0,0.0,0.0
6.0,4.0,CIG,alcohol,846.0,8.0,6.0,0.75
6.0,4.0,CIG,cigarette,846.0,8.0,1.0,0.125
6.0,4.0,CIG,neutral,846.0,8.0,1.0,0.125
7.0,4.0,CIG,alcohol,846.0,0.0,0.0,
7.0,4.0,CIG,cigarette,846.0,0.0,0.0,
7.0,4.0,CIG,neutral,846.0,0.0,0.0,
8.0,4.0,CIG,alcohol,846.0,3.0,3.0,1.0
8.0,4.0,CIG,cigarette,846.0,3.0,0.0,0.0
8.0,4.0,CIG,neutral,846.0,3.0,0.0,0.0
9.0,4.0,CIG,alcohol,846.0,0.0,0.0,
9.0,4.0,CIG,cigarette,846.0,0.0,0.0,
9.0,4.0,CIG,neutral,846.0,0.0,0.0,
10.0,4.0,CIG,alcohol,846.0,11.0,7.0,0.636363636364
10.0,4.0,CIG,cigarette,846.0,11.0,2.0,0.181818181818
10.0,4.0,CIG,neutral,846.0,11.0,2.0,0.181818181818
11.0,4.0,CIG,alcohol,846.0,18.0,11.0,0.611111111111
11.0,4.0,CIG,cigarette,846.0,18.0,5.0,0.277777777778
11.0,4.0,CIG,neutral,846.0,18.0,2.0,0.111111111111
12.0,4.0,CIG,alcohol,846.0,3.0,3.0,1.0
12.0,4.0,CIG,cigarette,846.0,3.0,0.0,0.0
12.0,4.0,CIG,neutral,846.0,3.0,0.0,0.0
13.0,4.0,CIG,alcohol,846.0,7.0,3.0,0.428571428571
13.0,4.0,CIG,cigarette,846.0,7.0,2.0,0.285714285714
13.0,4.0,CIG,neutral,846.0,7.0,2.0,0.285714285714
14.0,4.0,CIG,alcohol,846.0,14.0,6.0,0.428571428571
14.0,4.0,CIG,cigarette,846.0,14.0,1.0,0.0714285714286
14.0,4.0,CIG,neutral,846.0,14.0,7.0,0.5
15.0,4.0,CIG,alcohol,846.0,1.0,0.0,0.0
15.0,4.0,CIG,cigarette,846.0,1.0,1.0,1.0
15.0,4.0,CIG,neutral,846.0,1.0,0.0,0.0
16.0,4.0,CIG,alcohol,846.0,3.0,2.0,0.666666666667
16.0,4.0,CIG,cigarette,846.0,3.0,1.0,0.333333333333
16.0,4.0,CIG,neutral,846.0,3.0,0.0,0.0
17.0,4.0,CIG,alcohol,846.0,11.0,4.0,0.363636363636
17.0,4.0,CIG,cigarette,846.0,11.0,3.0,0.272727272727
17.0,4.0,CIG,neutral,846.0,11.0,4.0,0.363636363636
18.0,4.0,CIG,alcohol,846.0,14.0,9.0,0.642857142857
18.0,4.0,CIG,cigarette,846.0,14.0,2.0,0.142857142857
18.0,4.0,CIG,neutral,846.0,14.0,3.0,0.214285714286
19.0,4.0,CIG,alcohol,846.0,17.0,9.0,0.529411764706
19.0,4.0,CIG,cigarette,846.0,17.0,5.0,0.294117647059
19.0,4.0,CIG,neutral,846.0,17.0,3.0,0.176470588235
20.0,4.0,CIG,alcohol,846.0,13.0,7.0,0.538461538462
20.0,4.0,CIG,cigarette,846.0,13.0,3.0,0.230769230769
20.0,4.0,CIG,neutral,846.0,13.0,3.0,0.230769230769
21.0,4.0,CIG,alcohol,846.0,0.0,0.0,
21.0,4.0,CIG,cigarette,846.0,0.0,0.0,
21.0,4.0,CIG,neutral,846.0,0.0,0.0,
22.0,4.0,CIG,alcohol,846.0,9.0,8.0,0.888888888889
22.0,4.0,CIG,cigarette,846.0,9.0,1.0,0.111111111111
22.0,4.0,CIG,neutral,846.0,9.0,0.0,0.0
23.0,4.0,CIG,alcohol,846.0,7.0,2.0,0.285714285714
23.0,4.0,CIG,cigarette,846.0,7.0,1.0,0.142857142857
23.0,4.0,CIG,neutral,846.0,7.0,4.0,0.571428571429
24.0,4.0,CIG,alcohol,846.0,3.0,2.0,0.666666666667
24.0,4.0,CIG,cigarette,846.0,3.0,0.0,0.0
24.0,4.0,CIG,neutral,846.0,3.0,1.0,0.333333333333
25.0,4.0,CIG,alcohol,846.0,10.0,7.0,0.7
25.0,4.0,CIG,cigarette,846.0,10.0,1.0,0.1
25.0,4.0,CIG,neutral,846.0,10.0,2.0,0.2
26.0,4.0,CIG,alcohol,846.0,0.0,0.0,
26.0,4.0,CIG,cigarette,846.0,0.0,0.0,
26.0,4.0,CIG,neutral,846.0,0.0,0.0,
27.0,4.0,CIG,alcohol,846.0,0.0,0.0,
27.0,4.0,CIG,cigarette,846.0,0.0,0.0,
27.0,4.0,CIG,neutral,846.0,0.0,0.0,
28.0,4.0,CIG,alcohol,846.0,0.0,0.0,
28.0,4.0,CIG,cigarette,846.0,0.0,0.0,
28.0,4.0,CIG,neutral,846.0,0.0,0.0,
29.0,4.0,CIG,alcohol,846.0,15.0,6.0,0.4
29.0,4.0,CIG,cigarette,846.0,15.0,7.0,0.466666666667
29.0,4.0,CIG,neutral,846.0,15.0,2.0,0.133333333333
