sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
12.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
12.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
12.0,4.0,cigarette,neutral,270.0,0.0,0.0,
13.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
13.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
13.0,4.0,cigarette,neutral,270.0,0.0,0.0,
14.0,4.0,cigarette,alcohol,270.0,1.0,0.0,0.0
14.0,4.0,cigarette,cigarette,270.0,1.0,1.0,1.0
14.0,4.0,cigarette,neutral,270.0,1.0,0.0,0.0
15.0,4.0,cigarette,alcohol,270.0,2.0,0.0,0.0
15.0,4.0,cigarette,cigarette,270.0,2.0,2.0,1.0
15.0,4.0,cigarette,neutral,270.0,2.0,0.0,0.0
16.0,4.0,cigarette,alcohol,270.0,2.0,1.0,0.5
16.0,4.0,cigarette,cigarette,270.0,2.0,1.0,0.5
16.0,4.0,cigarette,neutral,270.0,2.0,0.0,0.0
17.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
17.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
17.0,4.0,cigarette,neutral,270.0,0.0,0.0,
18.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
18.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
18.0,4.0,cigarette,neutral,270.0,0.0,0.0,
19.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
19.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
19.0,4.0,cigarette,neutral,270.0,0.0,0.0,
20.0,4.0,cigarette,alcohol,270.0,6.0,2.0,0.333333333333
20.0,4.0,cigarette,cigarette,270.0,6.0,2.0,0.333333333333
20.0,4.0,cigarette,neutral,270.0,6.0,2.0,0.333333333333
21.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
21.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
21.0,4.0,cigarette,neutral,270.0,0.0,0.0,
22.0,4.0,cigarette,alcohol,270.0,3.0,1.0,0.333333333333
22.0,4.0,cigarette,cigarette,270.0,3.0,2.0,0.666666666667
22.0,4.0,cigarette,neutral,270.0,3.0,0.0,0.0
23.0,4.0,cigarette,alcohol,270.0,2.0,1.0,0.5
23.0,4.0,cigarette,cigarette,270.0,2.0,0.0,0.0
23.0,4.0,cigarette,neutral,270.0,2.0,1.0,0.5
24.0,4.0,cigarette,alcohol,270.0,1.0,1.0,1.0
24.0,4.0,cigarette,cigarette,270.0,1.0,0.0,0.0
24.0,4.0,cigarette,neutral,270.0,1.0,0.0,0.0
25.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
25.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
25.0,4.0,cigarette,neutral,270.0,0.0,0.0,
26.0,4.0,cigarette,alcohol,270.0,0.0,0.0,
26.0,4.0,cigarette,cigarette,270.0,0.0,0.0,
26.0,4.0,cigarette,neutral,270.0,0.0,0.0,
27.0,4.0,cigarette,alcohol,270.0,13.0,3.0,0.230769230769
27.0,4.0,cigarette,cigarette,270.0,13.0,6.0,0.461538461538
27.0,4.0,cigarette,neutral,270.0,13.0,4.0,0.307692307692
28.0,4.0,cigarette,alcohol,270.0,4.0,0.0,0.0
28.0,4.0,cigarette,cigarette,270.0,4.0,2.0,0.5
28.0,4.0,cigarette,neutral,270.0,4.0,2.0,0.5
29.0,4.0,cigarette,alcohol,270.0,4.0,1.0,0.25
29.0,4.0,cigarette,cigarette,270.0,4.0,1.0,0.25
29.0,4.0,cigarette,neutral,270.0,4.0,2.0,0.5
1.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
1.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
1.0,4.0,alcohol,neutral,270.0,0.0,0.0,
2.0,4.0,alcohol,alcohol,270.0,1.0,1.0,1.0
2.0,4.0,alcohol,cigarette,270.0,1.0,0.0,0.0
2.0,4.0,alcohol,neutral,270.0,1.0,0.0,0.0
3.0,4.0,alcohol,alcohol,270.0,7.0,4.0,0.571428571429
3.0,4.0,alcohol,cigarette,270.0,7.0,3.0,0.428571428571
3.0,4.0,alcohol,neutral,270.0,7.0,0.0,0.0
4.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
4.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
4.0,4.0,alcohol,neutral,270.0,0.0,0.0,
5.0,4.0,alcohol,alcohol,270.0,2.0,2.0,1.0
5.0,4.0,alcohol,cigarette,270.0,2.0,0.0,0.0
5.0,4.0,alcohol,neutral,270.0,2.0,0.0,0.0
6.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
6.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
6.0,4.0,alcohol,neutral,270.0,0.0,0.0,
7.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
7.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
7.0,4.0,alcohol,neutral,270.0,0.0,0.0,
8.0,4.0,alcohol,alcohol,270.0,4.0,4.0,1.0
8.0,4.0,alcohol,cigarette,270.0,4.0,0.0,0.0
8.0,4.0,alcohol,neutral,270.0,4.0,0.0,0.0
9.0,4.0,alcohol,alcohol,270.0,1.0,0.0,0.0
9.0,4.0,alcohol,cigarette,270.0,1.0,1.0,1.0
9.0,4.0,alcohol,neutral,270.0,1.0,0.0,0.0
10.0,4.0,alcohol,alcohol,270.0,11.0,4.0,0.363636363636
10.0,4.0,alcohol,cigarette,270.0,11.0,6.0,0.545454545455
10.0,4.0,alcohol,neutral,270.0,11.0,1.0,0.0909090909091
11.0,4.0,alcohol,alcohol,270.0,1.0,0.0,0.0
11.0,4.0,alcohol,cigarette,270.0,1.0,0.0,0.0
11.0,4.0,alcohol,neutral,270.0,1.0,1.0,1.0
12.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
12.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
12.0,4.0,alcohol,neutral,270.0,0.0,0.0,
13.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
13.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
13.0,4.0,alcohol,neutral,270.0,0.0,0.0,
14.0,4.0,alcohol,alcohol,270.0,14.0,7.0,0.5
14.0,4.0,alcohol,cigarette,270.0,14.0,5.0,0.357142857143
14.0,4.0,alcohol,neutral,270.0,14.0,2.0,0.142857142857
15.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
15.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
15.0,4.0,alcohol,neutral,270.0,0.0,0.0,
16.0,4.0,alcohol,alcohol,270.0,1.0,1.0,1.0
16.0,4.0,alcohol,cigarette,270.0,1.0,0.0,0.0
16.0,4.0,alcohol,neutral,270.0,1.0,0.0,0.0
17.0,4.0,alcohol,alcohol,270.0,8.0,1.0,0.125
17.0,4.0,alcohol,cigarette,270.0,8.0,4.0,0.5
17.0,4.0,alcohol,neutral,270.0,8.0,3.0,0.375
18.0,4.0,alcohol,alcohol,270.0,9.0,5.0,0.555555555556
18.0,4.0,alcohol,cigarette,270.0,9.0,1.0,0.111111111111
18.0,4.0,alcohol,neutral,270.0,9.0,3.0,0.333333333333
19.0,4.0,alcohol,alcohol,270.0,10.0,5.0,0.5
19.0,4.0,alcohol,cigarette,270.0,10.0,4.0,0.4
19.0,4.0,alcohol,neutral,270.0,10.0,1.0,0.1
20.0,4.0,alcohol,alcohol,270.0,6.0,4.0,0.666666666667
20.0,4.0,alcohol,cigarette,270.0,6.0,0.0,0.0
20.0,4.0,alcohol,neutral,270.0,6.0,2.0,0.333333333333
21.0,4.0,alcohol,alcohol,270.0,2.0,1.0,0.5
21.0,4.0,alcohol,cigarette,270.0,2.0,1.0,0.5
21.0,4.0,alcohol,neutral,270.0,2.0,0.0,0.0
22.0,4.0,alcohol,alcohol,270.0,5.0,0.0,0.0
22.0,4.0,alcohol,cigarette,270.0,5.0,5.0,1.0
22.0,4.0,alcohol,neutral,270.0,5.0,0.0,0.0
23.0,4.0,alcohol,alcohol,270.0,8.0,3.0,0.375
23.0,4.0,alcohol,cigarette,270.0,8.0,3.0,0.375
23.0,4.0,alcohol,neutral,270.0,8.0,2.0,0.25
24.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
24.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
24.0,4.0,alcohol,neutral,270.0,0.0,0.0,
25.0,4.0,alcohol,alcohol,270.0,14.0,5.0,0.357142857143
25.0,4.0,alcohol,cigarette,270.0,14.0,7.0,0.5
25.0,4.0,alcohol,neutral,270.0,14.0,2.0,0.142857142857
26.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
26.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
26.0,4.0,alcohol,neutral,270.0,0.0,0.0,
27.0,4.0,alcohol,alcohol,270.0,0.0,0.0,
27.0,4.0,alcohol,cigarette,270.0,0.0,0.0,
27.0,4.0,alcohol,neutral,270.0,0.0,0.0,
28.0,4.0,alcohol,alcohol,270.0,6.0,2.0,0.333333333333
28.0,4.0,alcohol,cigarette,270.0,6.0,4.0,0.666666666667
28.0,4.0,alcohol,neutral,270.0,6.0,0.0,0.0
29.0,4.0,alcohol,alcohol,270.0,8.0,5.0,0.625
29.0,4.0,alcohol,cigarette,270.0,8.0,3.0,0.375
29.0,4.0,alcohol,neutral,270.0,8.0,0.0,0.0
1.0,4.0,neutral,alcohol,270.0,2.0,1.0,0.5
1.0,4.0,neutral,cigarette,270.0,2.0,1.0,0.5
1.0,4.0,neutral,neutral,270.0,2.0,0.0,0.0
2.0,4.0,neutral,alcohol,270.0,2.0,1.0,0.5
2.0,4.0,neutral,cigarette,270.0,2.0,1.0,0.5
2.0,4.0,neutral,neutral,270.0,2.0,0.0,0.0
3.0,4.0,neutral,alcohol,270.0,12.0,8.0,0.666666666667
3.0,4.0,neutral,cigarette,270.0,12.0,3.0,0.25
3.0,4.0,neutral,neutral,270.0,12.0,1.0,0.0833333333333
4.0,4.0,neutral,alcohol,270.0,0.0,0.0,
4.0,4.0,neutral,cigarette,270.0,0.0,0.0,
4.0,4.0,neutral,neutral,270.0,0.0,0.0,
5.0,4.0,neutral,alcohol,270.0,0.0,0.0,
5.0,4.0,neutral,cigarette,270.0,0.0,0.0,
5.0,4.0,neutral,neutral,270.0,0.0,0.0,
6.0,4.0,neutral,alcohol,270.0,0.0,0.0,
6.0,4.0,neutral,cigarette,270.0,0.0,0.0,
6.0,4.0,neutral,neutral,270.0,0.0,0.0,
7.0,4.0,neutral,alcohol,270.0,0.0,0.0,
7.0,4.0,neutral,cigarette,270.0,0.0,0.0,
7.0,4.0,neutral,neutral,270.0,0.0,0.0,
8.0,4.0,neutral,alcohol,270.0,0.0,0.0,
8.0,4.0,neutral,cigarette,270.0,0.0,0.0,
8.0,4.0,neutral,neutral,270.0,0.0,0.0,
9.0,4.0,neutral,alcohol,270.0,6.0,2.0,0.333333333333
9.0,4.0,neutral,cigarette,270.0,6.0,3.0,0.5
9.0,4.0,neutral,neutral,270.0,6.0,1.0,0.166666666667
10.0,4.0,neutral,alcohol,270.0,0.0,0.0,
10.0,4.0,neutral,cigarette,270.0,0.0,0.0,
10.0,4.0,neutral,neutral,270.0,0.0,0.0,
11.0,4.0,neutral,alcohol,270.0,0.0,0.0,
11.0,4.0,neutral,cigarette,270.0,0.0,0.0,
11.0,4.0,neutral,neutral,270.0,0.0,0.0,
12.0,4.0,neutral,alcohol,270.0,3.0,2.0,0.666666666667
12.0,4.0,neutral,cigarette,270.0,3.0,0.0,0.0
12.0,4.0,neutral,neutral,270.0,3.0,1.0,0.333333333333
13.0,4.0,neutral,alcohol,270.0,16.0,5.0,0.3125
13.0,4.0,neutral,cigarette,270.0,16.0,3.0,0.1875
13.0,4.0,neutral,neutral,270.0,16.0,8.0,0.5
14.0,4.0,neutral,alcohol,270.0,0.0,0.0,
14.0,4.0,neutral,cigarette,270.0,0.0,0.0,
14.0,4.0,neutral,neutral,270.0,0.0,0.0,
15.0,4.0,neutral,alcohol,270.0,0.0,0.0,
15.0,4.0,neutral,cigarette,270.0,0.0,0.0,
15.0,4.0,neutral,neutral,270.0,0.0,0.0,
16.0,4.0,neutral,alcohol,270.0,0.0,0.0,
16.0,4.0,neutral,cigarette,270.0,0.0,0.0,
16.0,4.0,neutral,neutral,270.0,0.0,0.0,
17.0,4.0,neutral,alcohol,270.0,4.0,0.0,0.0
17.0,4.0,neutral,cigarette,270.0,4.0,1.0,0.25
17.0,4.0,neutral,neutral,270.0,4.0,3.0,0.75
18.0,4.0,neutral,alcohol,270.0,6.0,4.0,0.666666666667
18.0,4.0,neutral,cigarette,270.0,6.0,1.0,0.166666666667
18.0,4.0,neutral,neutral,270.0,6.0,1.0,0.166666666667
19.0,4.0,neutral,alcohol,270.0,6.0,2.0,0.333333333333
19.0,4.0,neutral,cigarette,270.0,6.0,2.0,0.333333333333
19.0,4.0,neutral,neutral,270.0,6.0,2.0,0.333333333333
20.0,4.0,neutral,alcohol,270.0,1.0,0.0,0.0
20.0,4.0,neutral,cigarette,270.0,1.0,1.0,1.0
20.0,4.0,neutral,neutral,270.0,1.0,0.0,0.0
21.0,4.0,neutral,alcohol,270.0,0.0,0.0,
21.0,4.0,neutral,cigarette,270.0,0.0,0.0,
21.0,4.0,neutral,neutral,270.0,0.0,0.0,
22.0,4.0,neutral,alcohol,270.0,1.0,0.0,0.0
22.0,4.0,neutral,cigarette,270.0,1.0,1.0,1.0
22.0,4.0,neutral,neutral,270.0,1.0,0.0,0.0
23.0,4.0,neutral,alcohol,270.0,1.0,0.0,0.0
23.0,4.0,neutral,cigarette,270.0,1.0,0.0,0.0
23.0,4.0,neutral,neutral,270.0,1.0,1.0,1.0
24.0,4.0,neutral,alcohol,270.0,0.0,0.0,
24.0,4.0,neutral,cigarette,270.0,0.0,0.0,
24.0,4.0,neutral,neutral,270.0,0.0,0.0,
25.0,4.0,neutral,alcohol,270.0,1.0,1.0,1.0
25.0,4.0,neutral,cigarette,270.0,1.0,0.0,0.0
25.0,4.0,neutral,neutral,270.0,1.0,0.0,0.0
26.0,4.0,neutral,alcohol,270.0,9.0,1.0,0.111111111111
26.0,4.0,neutral,cigarette,270.0,9.0,2.0,0.222222222222
26.0,4.0,neutral,neutral,270.0,9.0,6.0,0.666666666667
27.0,4.0,neutral,alcohol,270.0,4.0,1.0,0.25
27.0,4.0,neutral,cigarette,270.0,4.0,2.0,0.5
27.0,4.0,neutral,neutral,270.0,4.0,1.0,0.25
28.0,4.0,neutral,alcohol,270.0,6.0,2.0,0.333333333333
28.0,4.0,neutral,cigarette,270.0,6.0,3.0,0.5
28.0,4.0,neutral,neutral,270.0,6.0,1.0,0.166666666667
29.0,4.0,neutral,alcohol,270.0,2.0,1.0,0.5
29.0,4.0,neutral,cigarette,270.0,2.0,0.0,0.0
29.0,4.0,neutral,neutral,270.0,2.0,1.0,0.5
