sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
1.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
1.0,3.0,cigarette,neutral,443.0,0.0,0.0,
2.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
2.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
2.0,3.0,cigarette,neutral,443.0,0.0,0.0,
3.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
3.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
3.0,3.0,cigarette,neutral,443.0,0.0,0.0,
4.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
4.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
4.0,3.0,cigarette,neutral,443.0,0.0,0.0,
5.0,3.0,cigarette,alcohol,443.0,6.0,2.0,0.333333333333
5.0,3.0,cigarette,cigarette,443.0,6.0,1.0,0.166666666667
5.0,3.0,cigarette,neutral,443.0,6.0,3.0,0.5
6.0,3.0,cigarette,alcohol,443.0,29.0,3.0,0.103448275862
6.0,3.0,cigarette,cigarette,443.0,29.0,16.0,0.551724137931
6.0,3.0,cigarette,neutral,443.0,29.0,10.0,0.344827586207
7.0,3.0,cigarette,alcohol,443.0,15.0,0.0,0.0
7.0,3.0,cigarette,cigarette,443.0,15.0,14.0,0.933333333333
7.0,3.0,cigarette,neutral,443.0,15.0,1.0,0.0666666666667
8.0,3.0,cigarette,alcohol,443.0,10.0,1.0,0.1
8.0,3.0,cigarette,cigarette,443.0,10.0,9.0,0.9
8.0,3.0,cigarette,neutral,443.0,10.0,0.0,0.0
9.0,3.0,cigarette,alcohol,443.0,2.0,1.0,0.5
9.0,3.0,cigarette,cigarette,443.0,2.0,1.0,0.5
9.0,3.0,cigarette,neutral,443.0,2.0,0.0,0.0
10.0,3.0,cigarette,alcohol,443.0,2.0,2.0,1.0
10.0,3.0,cigarette,cigarette,443.0,2.0,0.0,0.0
10.0,3.0,cigarette,neutral,443.0,2.0,0.0,0.0
11.0,3.0,cigarette,alcohol,443.0,10.0,1.0,0.1
11.0,3.0,cigarette,cigarette,443.0,10.0,7.0,0.7
11.0,3.0,cigarette,neutral,443.0,10.0,2.0,0.2
12.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
12.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
12.0,3.0,cigarette,neutral,443.0,0.0,0.0,
13.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
13.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
13.0,3.0,cigarette,neutral,443.0,0.0,0.0,
14.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
14.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
14.0,3.0,cigarette,neutral,443.0,0.0,0.0,
15.0,3.0,cigarette,alcohol,443.0,16.0,5.0,0.3125
15.0,3.0,cigarette,cigarette,443.0,16.0,7.0,0.4375
15.0,3.0,cigarette,neutral,443.0,16.0,4.0,0.25
16.0,3.0,cigarette,alcohol,443.0,6.0,1.0,0.166666666667
16.0,3.0,cigarette,cigarette,443.0,6.0,4.0,0.666666666667
16.0,3.0,cigarette,neutral,443.0,6.0,1.0,0.166666666667
17.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
17.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
17.0,3.0,cigarette,neutral,443.0,0.0,0.0,
18.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
18.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
18.0,3.0,cigarette,neutral,443.0,0.0,0.0,
19.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
19.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
19.0,3.0,cigarette,neutral,443.0,0.0,0.0,
20.0,3.0,cigarette,alcohol,443.0,0.0,0.0,
20.0,3.0,cigarette,cigarette,443.0,0.0,0.0,
20.0,3.0,cigarette,neutral,443.0,0.0,0.0,
21.0,3.0,cigarette,alcohol,443.0,7.0,2.0,0.285714285714
21.0,3.0,cigarette,cigarette,443.0,7.0,3.0,0.428571428571
21.0,3.0,cigarette,neutral,443.0,7.0,2.0,0.285714285714
22.0,3.0,cigarette,alcohol,443.0,5.0,1.0,0.2
22.0,3.0,cigarette,cigarette,443.0,5.0,2.0,0.4
22.0,3.0,cigarette,neutral,443.0,5.0,2.0,0.4
23.0,3.0,cigarette,alcohol,443.0,1.0,1.0,1.0
23.0,3.0,cigarette,cigarette,443.0,1.0,0.0,0.0
23.0,3.0,cigarette,neutral,443.0,1.0,0.0,0.0
24.0,3.0,cigarette,alcohol,443.0,4.0,0.0,0.0
24.0,3.0,cigarette,cigarette,443.0,4.0,2.0,0.5
24.0,3.0,cigarette,neutral,443.0,4.0,2.0,0.5
