sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
11.0,3.0,ALC,neutral,464.0,0.0,0.0,
12.0,3.0,ALC,alcohol,464.0,0.0,0.0,
12.0,3.0,ALC,cigarette,464.0,0.0,0.0,
12.0,3.0,ALC,neutral,464.0,0.0,0.0,
13.0,3.0,ALC,alcohol,464.0,0.0,0.0,
13.0,3.0,ALC,cigarette,464.0,0.0,0.0,
13.0,3.0,ALC,neutral,464.0,0.0,0.0,
14.0,3.0,ALC,alcohol,464.0,0.0,0.0,
14.0,3.0,ALC,cigarette,464.0,0.0,0.0,
14.0,3.0,ALC,neutral,464.0,0.0,0.0,
15.0,3.0,ALC,alcohol,464.0,0.0,0.0,
15.0,3.0,ALC,cigarette,464.0,0.0,0.0,
15.0,3.0,ALC,neutral,464.0,0.0,0.0,
16.0,3.0,ALC,alcohol,464.0,0.0,0.0,
16.0,3.0,ALC,cigarette,464.0,0.0,0.0,
16.0,3.0,ALC,neutral,464.0,0.0,0.0,
17.0,3.0,ALC,alcohol,464.0,0.0,0.0,
17.0,3.0,ALC,cigarette,464.0,0.0,0.0,
17.0,3.0,ALC,neutral,464.0,0.0,0.0,
18.0,3.0,ALC,alcohol,464.0,0.0,0.0,
18.0,3.0,ALC,cigarette,464.0,0.0,0.0,
18.0,3.0,ALC,neutral,464.0,0.0,0.0,
19.0,3.0,ALC,alcohol,464.0,0.0,0.0,
19.0,3.0,ALC,cigarette,464.0,0.0,0.0,
19.0,3.0,ALC,neutral,464.0,0.0,0.0,
20.0,3.0,ALC,alcohol,464.0,0.0,0.0,
20.0,3.0,ALC,cigarette,464.0,0.0,0.0,
20.0,3.0,ALC,neutral,464.0,0.0,0.0,
21.0,3.0,ALC,alcohol,464.0,5.0,2.0,0.4
21.0,3.0,ALC,cigarette,464.0,5.0,3.0,0.6
21.0,3.0,ALC,neutral,464.0,5.0,0.0,0.0
22.0,3.0,ALC,alcohol,464.0,0.0,0.0,
22.0,3.0,ALC,cigarette,464.0,0.0,0.0,
22.0,3.0,ALC,neutral,464.0,0.0,0.0,
23.0,3.0,ALC,alcohol,464.0,0.0,0.0,
23.0,3.0,ALC,cigarette,464.0,0.0,0.0,
23.0,3.0,ALC,neutral,464.0,0.0,0.0,
24.0,3.0,ALC,alcohol,464.0,0.0,0.0,
24.0,3.0,ALC,cigarette,464.0,0.0,0.0,
24.0,3.0,ALC,neutral,464.0,0.0,0.0,
25.0,3.0,ALC,alcohol,464.0,0.0,0.0,
25.0,3.0,ALC,cigarette,464.0,0.0,0.0,
25.0,3.0,ALC,neutral,464.0,0.0,0.0,
26.0,3.0,ALC,alcohol,464.0,16.0,1.0,0.0625
26.0,3.0,ALC,cigarette,464.0,16.0,4.0,0.25
26.0,3.0,ALC,neutral,464.0,16.0,11.0,0.6875
27.0,3.0,ALC,alcohol,464.0,25.0,7.0,0.28
27.0,3.0,ALC,cigarette,464.0,25.0,8.0,0.32
27.0,3.0,ALC,neutral,464.0,25.0,10.0,0.4
28.0,3.0,ALC,alcohol,464.0,26.0,14.0,0.538461538462
28.0,3.0,ALC,cigarette,464.0,26.0,9.0,0.346153846154
28.0,3.0,ALC,neutral,464.0,26.0,3.0,0.115384615385
29.0,3.0,ALC,alcohol,464.0,0.0,0.0,
29.0,3.0,ALC,cigarette,464.0,0.0,0.0,
29.0,3.0,ALC,neutral,464.0,0.0,0.0,
1.0,3.0,CIG,alcohol,464.0,2.0,1.0,0.5
1.0,3.0,CIG,cigarette,464.0,2.0,0.0,0.0
1.0,3.0,CIG,neutral,464.0,2.0,1.0,0.5
2.0,3.0,CIG,alcohol,464.0,21.0,19.0,0.904761904762
2.0,3.0,CIG,cigarette,464.0,21.0,1.0,0.047619047619
2.0,3.0,CIG,neutral,464.0,21.0,1.0,0.047619047619
3.0,3.0,CIG,alcohol,464.0,29.0,17.0,0.586206896552
3.0,3.0,CIG,cigarette,464.0,29.0,8.0,0.275862068966
3.0,3.0,CIG,neutral,464.0,29.0,4.0,0.137931034483
4.0,3.0,CIG,alcohol,464.0,0.0,0.0,
4.0,3.0,CIG,cigarette,464.0,0.0,0.0,
4.0,3.0,CIG,neutral,464.0,0.0,0.0,
5.0,3.0,CIG,alcohol,464.0,6.0,2.0,0.333333333333
5.0,3.0,CIG,cigarette,464.0,6.0,3.0,0.5
5.0,3.0,CIG,neutral,464.0,6.0,1.0,0.166666666667
6.0,3.0,CIG,alcohol,464.0,27.0,4.0,0.148148148148
6.0,3.0,CIG,cigarette,464.0,27.0,21.0,0.777777777778
6.0,3.0,CIG,neutral,464.0,27.0,2.0,0.0740740740741
7.0,3.0,CIG,alcohol,464.0,7.0,0.0,0.0
7.0,3.0,CIG,cigarette,464.0,7.0,7.0,1.0
7.0,3.0,CIG,neutral,464.0,7.0,0.0,0.0
8.0,3.0,CIG,alcohol,464.0,13.0,3.0,0.230769230769
8.0,3.0,CIG,cigarette,464.0,13.0,7.0,0.538461538462
8.0,3.0,CIG,neutral,464.0,13.0,3.0,0.230769230769
9.0,3.0,CIG,alcohol,464.0,0.0,0.0,
9.0,3.0,CIG,cigarette,464.0,0.0,0.0,
9.0,3.0,CIG,neutral,464.0,0.0,0.0,
10.0,3.0,CIG,alcohol,464.0,19.0,6.0,0.315789473684
10.0,3.0,CIG,cigarette,464.0,19.0,11.0,0.578947368421
10.0,3.0,CIG,neutral,464.0,19.0,2.0,0.105263157895
11.0,3.0,CIG,alcohol,464.0,28.0,6.0,0.214285714286
11.0,3.0,CIG,cigarette,464.0,28.0,13.0,0.464285714286
11.0,3.0,CIG,neutral,464.0,28.0,9.0,0.321428571429
12.0,3.0,CIG,alcohol,464.0,5.0,2.0,0.4
12.0,3.0,CIG,cigarette,464.0,5.0,0.0,0.0
12.0,3.0,CIG,neutral,464.0,5.0,3.0,0.6
13.0,3.0,CIG,alcohol,464.0,25.0,5.0,0.2
13.0,3.0,CIG,cigarette,464.0,25.0,4.0,0.16
13.0,3.0,CIG,neutral,464.0,25.0,16.0,0.64
14.0,3.0,CIG,alcohol,464.0,22.0,15.0,0.681818181818
14.0,3.0,CIG,cigarette,464.0,22.0,4.0,0.181818181818
14.0,3.0,CIG,neutral,464.0,22.0,3.0,0.136363636364
15.0,3.0,CIG,alcohol,464.0,1.0,0.0,0.0
15.0,3.0,CIG,cigarette,464.0,1.0,1.0,1.0
15.0,3.0,CIG,neutral,464.0,1.0,0.0,0.0
16.0,3.0,CIG,alcohol,464.0,7.0,3.0,0.428571428571
16.0,3.0,CIG,cigarette,464.0,7.0,4.0,0.571428571429
16.0,3.0,CIG,neutral,464.0,7.0,0.0,0.0
17.0,3.0,CIG,alcohol,464.0,16.0,3.0,0.1875
17.0,3.0,CIG,cigarette,464.0,16.0,8.0,0.5
17.0,3.0,CIG,neutral,464.0,16.0,5.0,0.3125
18.0,3.0,CIG,alcohol,464.0,11.0,6.0,0.545454545455
18.0,3.0,CIG,cigarette,464.0,11.0,4.0,0.363636363636
18.0,3.0,CIG,neutral,464.0,11.0,1.0,0.0909090909091
19.0,3.0,CIG,alcohol,464.0,22.0,12.0,0.545454545455
19.0,3.0,CIG,cigarette,464.0,22.0,1.0,0.0454545454545
19.0,3.0,CIG,neutral,464.0,22.0,9.0,0.409090909091
20.0,3.0,CIG,alcohol,464.0,25.0,8.0,0.32
20.0,3.0,CIG,cigarette,464.0,25.0,10.0,0.4
20.0,3.0,CIG,neutral,464.0,25.0,7.0,0.28
21.0,3.0,CIG,alcohol,464.0,0.0,0.0,
21.0,3.0,CIG,cigarette,464.0,0.0,0.0,
21.0,3.0,CIG,neutral,464.0,0.0,0.0,
22.0,3.0,CIG,alcohol,464.0,16.0,8.0,0.5
22.0,3.0,CIG,cigarette,464.0,16.0,6.0,0.375
22.0,3.0,CIG,neutral,464.0,16.0,2.0,0.125
23.0,3.0,CIG,alcohol,464.0,12.0,6.0,0.5
23.0,3.0,CIG,cigarette,464.0,12.0,3.0,0.25
23.0,3.0,CIG,neutral,464.0,12.0,3.0,0.25
24.0,3.0,CIG,alcohol,464.0,2.0,0.0,0.0
24.0,3.0,CIG,cigarette,464.0,2.0,0.0,0.0
24.0,3.0,CIG,neutral,464.0,2.0,2.0,1.0
25.0,3.0,CIG,alcohol,464.0,24.0,12.0,0.5
25.0,3.0,CIG,cigarette,464.0,24.0,8.0,0.333333333333
25.0,3.0,CIG,neutral,464.0,24.0,4.0,0.166666666667
26.0,3.0,CIG,alcohol,464.0,0.0,0.0,
26.0,3.0,CIG,cigarette,464.0,0.0,0.0,
26.0,3.0,CIG,neutral,464.0,0.0,0.0,
27.0,3.0,CIG,alcohol,464.0,0.0,0.0,
27.0,3.0,CIG,cigarette,464.0,0.0,0.0,
27.0,3.0,CIG,neutral,464.0,0.0,0.0,
28.0,3.0,CIG,alcohol,464.0,0.0,0.0,
28.0,3.0,CIG,cigarette,464.0,0.0,0.0,
28.0,3.0,CIG,neutral,464.0,0.0,0.0,
29.0,3.0,CIG,alcohol,464.0,25.0,8.0,0.32
29.0,3.0,CIG,cigarette,464.0,25.0,15.0,0.6
29.0,3.0,CIG,neutral,464.0,25.0,2.0,0.08
