sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,1405.0,3.0,2.0,0.666666666667
1.0,3.0,alcohol,cigarette,1405.0,3.0,1.0,0.333333333333
1.0,3.0,alcohol,neutral,1405.0,3.0,0.0,0.0
2.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
2.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
2.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
3.0,3.0,alcohol,alcohol,1405.0,1.0,1.0,1.0
3.0,3.0,alcohol,cigarette,1405.0,1.0,0.0,0.0
3.0,3.0,alcohol,neutral,1405.0,1.0,0.0,0.0
4.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
4.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
4.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
5.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
5.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
5.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
6.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
6.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
6.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
7.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
7.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
7.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
8.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
8.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
8.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
9.0,3.0,alcohol,alcohol,1405.0,1.0,1.0,1.0
9.0,3.0,alcohol,cigarette,1405.0,1.0,0.0,0.0
9.0,3.0,alcohol,neutral,1405.0,1.0,0.0,0.0
10.0,3.0,alcohol,alcohol,1405.0,4.0,2.0,0.5
10.0,3.0,alcohol,cigarette,1405.0,4.0,0.0,0.0
10.0,3.0,alcohol,neutral,1405.0,4.0,2.0,0.5
11.0,3.0,alcohol,alcohol,1405.0,10.0,6.0,0.6
11.0,3.0,alcohol,cigarette,1405.0,10.0,2.0,0.2
11.0,3.0,alcohol,neutral,1405.0,10.0,2.0,0.2
12.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
12.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
12.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
13.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
13.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
13.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
14.0,3.0,alcohol,alcohol,1405.0,4.0,3.0,0.75
14.0,3.0,alcohol,cigarette,1405.0,4.0,0.0,0.0
14.0,3.0,alcohol,neutral,1405.0,4.0,1.0,0.25
15.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
15.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
15.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
16.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
16.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
16.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
17.0,3.0,alcohol,alcohol,1405.0,1.0,0.0,0.0
17.0,3.0,alcohol,cigarette,1405.0,1.0,0.0,0.0
17.0,3.0,alcohol,neutral,1405.0,1.0,1.0,1.0
18.0,3.0,alcohol,alcohol,1405.0,3.0,2.0,0.666666666667
18.0,3.0,alcohol,cigarette,1405.0,3.0,1.0,0.333333333333
18.0,3.0,alcohol,neutral,1405.0,3.0,0.0,0.0
19.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
19.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
19.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
20.0,3.0,alcohol,alcohol,1405.0,5.0,4.0,0.8
20.0,3.0,alcohol,cigarette,1405.0,5.0,0.0,0.0
20.0,3.0,alcohol,neutral,1405.0,5.0,1.0,0.2
21.0,3.0,alcohol,alcohol,1405.0,3.0,1.0,0.333333333333
21.0,3.0,alcohol,cigarette,1405.0,3.0,1.0,0.333333333333
21.0,3.0,alcohol,neutral,1405.0,3.0,1.0,0.333333333333
22.0,3.0,alcohol,alcohol,1405.0,2.0,2.0,1.0
22.0,3.0,alcohol,cigarette,1405.0,2.0,0.0,0.0
22.0,3.0,alcohol,neutral,1405.0,2.0,0.0,0.0
23.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
23.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
23.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
24.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
24.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
24.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
25.0,3.0,alcohol,alcohol,1405.0,7.0,6.0,0.857142857143
25.0,3.0,alcohol,cigarette,1405.0,7.0,1.0,0.142857142857
25.0,3.0,alcohol,neutral,1405.0,7.0,0.0,0.0
26.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
26.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
26.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
27.0,3.0,alcohol,alcohol,1405.0,0.0,0.0,
27.0,3.0,alcohol,cigarette,1405.0,0.0,0.0,
27.0,3.0,alcohol,neutral,1405.0,0.0,0.0,
28.0,3.0,alcohol,alcohol,1405.0,2.0,1.0,0.5
28.0,3.0,alcohol,cigarette,1405.0,2.0,0.0,0.0
28.0,3.0,alcohol,neutral,1405.0,2.0,1.0,0.5
29.0,3.0,alcohol,alcohol,1405.0,23.0,14.0,0.608695652174
29.0,3.0,alcohol,cigarette,1405.0,23.0,4.0,0.173913043478
29.0,3.0,alcohol,neutral,1405.0,23.0,5.0,0.217391304348
1.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
1.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
1.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
2.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
2.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
2.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
3.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
3.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
3.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
4.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
4.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
4.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
5.0,3.0,cigarette,alcohol,1405.0,1.0,0.0,0.0
5.0,3.0,cigarette,cigarette,1405.0,1.0,1.0,1.0
5.0,3.0,cigarette,neutral,1405.0,1.0,0.0,0.0
6.0,3.0,cigarette,alcohol,1405.0,14.0,3.0,0.214285714286
6.0,3.0,cigarette,cigarette,1405.0,14.0,8.0,0.571428571429
6.0,3.0,cigarette,neutral,1405.0,14.0,3.0,0.214285714286
7.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
7.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
7.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
8.0,3.0,cigarette,alcohol,1405.0,2.0,0.0,0.0
8.0,3.0,cigarette,cigarette,1405.0,2.0,2.0,1.0
8.0,3.0,cigarette,neutral,1405.0,2.0,0.0,0.0
9.0,3.0,cigarette,alcohol,1405.0,1.0,0.0,0.0
9.0,3.0,cigarette,cigarette,1405.0,1.0,1.0,1.0
9.0,3.0,cigarette,neutral,1405.0,1.0,0.0,0.0
10.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
10.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
10.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
11.0,3.0,cigarette,alcohol,1405.0,2.0,1.0,0.5
11.0,3.0,cigarette,cigarette,1405.0,2.0,1.0,0.5
11.0,3.0,cigarette,neutral,1405.0,2.0,0.0,0.0
12.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
12.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
12.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
13.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
13.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
13.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
14.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
14.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
14.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
15.0,3.0,cigarette,alcohol,1405.0,0.0,0.0,
15.0,3.0,cigarette,cigarette,1405.0,0.0,0.0,
15.0,3.0,cigarette,neutral,1405.0,0.0,0.0,
16.0,3.0,cigarette,alcohol,1405.0,1.0,1.0,1.0
16.0,3.0,cigarette,cigarette,1405.0,1.0,0.0,0.0
16.0,3.0,cigarette,neutral,1405.0,1.0,0.0,0.0
