sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
4.0,1.0,cigarette,neutral,72.0,2.0,0.0
5.0,1.0,cigarette,alcohol,72.0,21.0,0.0952380952381
5.0,1.0,cigarette,cigarette,72.0,21.0,0.666666666667
5.0,1.0,cigarette,neutral,72.0,21.0,0.238095238095
6.0,1.0,cigarette,alcohol,72.0,67.0,0.119402985075
6.0,1.0,cigarette,cigarette,72.0,67.0,0.850746268657
6.0,1.0,cigarette,neutral,72.0,67.0,0.0298507462687
7.0,1.0,cigarette,alcohol,72.0,50.0,0.22
7.0,1.0,cigarette,cigarette,72.0,50.0,0.58
7.0,1.0,cigarette,neutral,72.0,50.0,0.2
8.0,1.0,cigarette,alcohol,72.0,30.0,0.166666666667
8.0,1.0,cigarette,cigarette,72.0,30.0,0.733333333333
8.0,1.0,cigarette,neutral,72.0,30.0,0.1
9.0,1.0,cigarette,alcohol,72.0,14.0,0.428571428571
9.0,1.0,cigarette,cigarette,72.0,14.0,0.571428571429
9.0,1.0,cigarette,neutral,72.0,14.0,0.0
10.0,1.0,cigarette,alcohol,72.0,58.0,0.5
10.0,1.0,cigarette,cigarette,72.0,58.0,0.189655172414
10.0,1.0,cigarette,neutral,72.0,58.0,0.310344827586
11.0,1.0,cigarette,alcohol,72.0,10.0,0.2
11.0,1.0,cigarette,cigarette,72.0,10.0,0.7
11.0,1.0,cigarette,neutral,72.0,10.0,0.1
12.0,1.0,cigarette,alcohol,72.0,1.0,0.0
12.0,1.0,cigarette,cigarette,72.0,1.0,1.0
12.0,1.0,cigarette,neutral,72.0,1.0,0.0
13.0,1.0,cigarette,alcohol,72.0,28.0,0.214285714286
13.0,1.0,cigarette,cigarette,72.0,28.0,0.571428571429
13.0,1.0,cigarette,neutral,72.0,28.0,0.214285714286
14.0,1.0,cigarette,alcohol,72.0,40.0,0.45
14.0,1.0,cigarette,cigarette,72.0,40.0,0.525
14.0,1.0,cigarette,neutral,72.0,40.0,0.025
15.0,1.0,cigarette,alcohol,72.0,48.0,0.25
15.0,1.0,cigarette,cigarette,72.0,48.0,0.5
15.0,1.0,cigarette,neutral,72.0,48.0,0.25
16.0,1.0,cigarette,alcohol,72.0,25.0,0.12
16.0,1.0,cigarette,cigarette,72.0,25.0,0.8
16.0,1.0,cigarette,neutral,72.0,25.0,0.08
17.0,1.0,cigarette,alcohol,72.0,34.0,0.0588235294118
17.0,1.0,cigarette,cigarette,72.0,34.0,0.941176470588
17.0,1.0,cigarette,neutral,72.0,34.0,0.0
18.0,1.0,cigarette,alcohol,72.0,34.0,0.352941176471
18.0,1.0,cigarette,cigarette,72.0,34.0,0.529411764706
18.0,1.0,cigarette,neutral,72.0,34.0,0.117647058824
19.0,1.0,cigarette,alcohol,72.0,26.0,0.0769230769231
19.0,1.0,cigarette,cigarette,72.0,26.0,0.923076923077
19.0,1.0,cigarette,neutral,72.0,26.0,0.0
20.0,1.0,cigarette,alcohol,72.0,25.0,0.16
20.0,1.0,cigarette,cigarette,72.0,25.0,0.72
20.0,1.0,cigarette,neutral,72.0,25.0,0.12
21.0,1.0,cigarette,alcohol,72.0,25.0,0.16
21.0,1.0,cigarette,cigarette,72.0,25.0,0.68
21.0,1.0,cigarette,neutral,72.0,25.0,0.16
22.0,1.0,cigarette,alcohol,72.0,30.0,0.1
22.0,1.0,cigarette,cigarette,72.0,30.0,0.833333333333
22.0,1.0,cigarette,neutral,72.0,30.0,0.0666666666667
23.0,1.0,cigarette,alcohol,72.0,28.0,0.285714285714
23.0,1.0,cigarette,cigarette,72.0,28.0,0.642857142857
23.0,1.0,cigarette,neutral,72.0,28.0,0.0714285714286
24.0,1.0,cigarette,alcohol,72.0,22.0,0.454545454545
24.0,1.0,cigarette,cigarette,72.0,22.0,0.454545454545
24.0,1.0,cigarette,neutral,72.0,22.0,0.0909090909091
25.0,1.0,cigarette,alcohol,72.0,20.0,0.05
25.0,1.0,cigarette,cigarette,72.0,20.0,0.9
25.0,1.0,cigarette,neutral,72.0,20.0,0.05
26.0,1.0,cigarette,alcohol,72.0,17.0,0.0
26.0,1.0,cigarette,cigarette,72.0,17.0,1.0
26.0,1.0,cigarette,neutral,72.0,17.0,0.0
27.0,1.0,cigarette,alcohol,72.0,24.0,0.375
27.0,1.0,cigarette,cigarette,72.0,24.0,0.291666666667
27.0,1.0,cigarette,neutral,72.0,24.0,0.333333333333
28.0,1.0,cigarette,alcohol,72.0,38.0,0.236842105263
28.0,1.0,cigarette,cigarette,72.0,38.0,0.684210526316
28.0,1.0,cigarette,neutral,72.0,38.0,0.0789473684211
29.0,1.0,cigarette,alcohol,72.0,49.0,0.0816326530612
29.0,1.0,cigarette,cigarette,72.0,49.0,0.897959183673
29.0,1.0,cigarette,neutral,72.0,49.0,0.0204081632653
1.0,1.0,neutral,alcohol,72.0,5.0,0.4
1.0,1.0,neutral,cigarette,72.0,5.0,0.2
1.0,1.0,neutral,neutral,72.0,5.0,0.4
2.0,1.0,neutral,alcohol,72.0,1.0,1.0
2.0,1.0,neutral,cigarette,72.0,1.0,0.0
2.0,1.0,neutral,neutral,72.0,1.0,0.0
3.0,1.0,neutral,alcohol,72.0,0.0,
3.0,1.0,neutral,cigarette,72.0,0.0,
3.0,1.0,neutral,neutral,72.0,0.0,
4.0,1.0,neutral,alcohol,72.0,0.0,
4.0,1.0,neutral,cigarette,72.0,0.0,
4.0,1.0,neutral,neutral,72.0,0.0,
5.0,1.0,neutral,alcohol,72.0,12.0,0.0833333333333
5.0,1.0,neutral,cigarette,72.0,12.0,0.25
5.0,1.0,neutral,neutral,72.0,12.0,0.666666666667
6.0,1.0,neutral,alcohol,72.0,1.0,0.0
6.0,1.0,neutral,cigarette,72.0,1.0,1.0
6.0,1.0,neutral,neutral,72.0,1.0,0.0
7.0,1.0,neutral,alcohol,72.0,0.0,
7.0,1.0,neutral,cigarette,72.0,0.0,
7.0,1.0,neutral,neutral,72.0,0.0,
8.0,1.0,neutral,alcohol,72.0,14.0,0.142857142857
8.0,1.0,neutral,cigarette,72.0,14.0,0.214285714286
8.0,1.0,neutral,neutral,72.0,14.0,0.642857142857
9.0,1.0,neutral,alcohol,72.0,6.0,0.0
9.0,1.0,neutral,cigarette,72.0,6.0,0.5
9.0,1.0,neutral,neutral,72.0,6.0,0.5
10.0,1.0,neutral,alcohol,72.0,1.0,0.0
10.0,1.0,neutral,cigarette,72.0,1.0,1.0
10.0,1.0,neutral,neutral,72.0,1.0,0.0
11.0,1.0,neutral,alcohol,72.0,0.0,
11.0,1.0,neutral,cigarette,72.0,0.0,
11.0,1.0,neutral,neutral,72.0,0.0,
12.0,1.0,neutral,alcohol,72.0,1.0,0.0
12.0,1.0,neutral,cigarette,72.0,1.0,0.0
12.0,1.0,neutral,neutral,72.0,1.0,1.0
13.0,1.0,neutral,alcohol,72.0,47.0,0.255319148936
13.0,1.0,neutral,cigarette,72.0,47.0,0.106382978723
13.0,1.0,neutral,neutral,72.0,47.0,0.63829787234
14.0,1.0,neutral,alcohol,72.0,0.0,
14.0,1.0,neutral,cigarette,72.0,0.0,
14.0,1.0,neutral,neutral,72.0,0.0,
15.0,1.0,neutral,alcohol,72.0,0.0,
15.0,1.0,neutral,cigarette,72.0,0.0,
15.0,1.0,neutral,neutral,72.0,0.0,
16.0,1.0,neutral,alcohol,72.0,5.0,0.0
16.0,1.0,neutral,cigarette,72.0,5.0,0.4
16.0,1.0,neutral,neutral,72.0,5.0,0.6
17.0,1.0,neutral,alcohol,72.0,3.0,0.333333333333
17.0,1.0,neutral,cigarette,72.0,3.0,0.0
17.0,1.0,neutral,neutral,72.0,3.0,0.666666666667
18.0,1.0,neutral,alcohol,72.0,0.0,
18.0,1.0,neutral,cigarette,72.0,0.0,
18.0,1.0,neutral,neutral,72.0,0.0,
19.0,1.0,neutral,alcohol,72.0,6.0,0.0
19.0,1.0,neutral,cigarette,72.0,6.0,0.166666666667
19.0,1.0,neutral,neutral,72.0,6.0,0.833333333333
20.0,1.0,neutral,alcohol,72.0,5.0,0.2
20.0,1.0,neutral,cigarette,72.0,5.0,0.0
20.0,1.0,neutral,neutral,72.0,5.0,0.8
21.0,1.0,neutral,alcohol,72.0,1.0,0.0
21.0,1.0,neutral,cigarette,72.0,1.0,0.0
21.0,1.0,neutral,neutral,72.0,1.0,1.0
22.0,1.0,neutral,alcohol,72.0,1.0,1.0
22.0,1.0,neutral,cigarette,72.0,1.0,0.0
22.0,1.0,neutral,neutral,72.0,1.0,0.0
23.0,1.0,neutral,alcohol,72.0,2.0,0.0
23.0,1.0,neutral,cigarette,72.0,2.0,0.0
23.0,1.0,neutral,neutral,72.0,2.0,1.0
24.0,1.0,neutral,alcohol,72.0,4.0,0.25
24.0,1.0,neutral,cigarette,72.0,4.0,0.0
24.0,1.0,neutral,neutral,72.0,4.0,0.75
25.0,1.0,neutral,alcohol,72.0,3.0,0.333333333333
25.0,1.0,neutral,cigarette,72.0,3.0,0.0
25.0,1.0,neutral,neutral,72.0,3.0,0.666666666667
26.0,1.0,neutral,alcohol,72.0,47.0,0.0212765957447
26.0,1.0,neutral,cigarette,72.0,47.0,0.0
26.0,1.0,neutral,neutral,72.0,47.0,0.978723404255
27.0,1.0,neutral,alcohol,72.0,47.0,0.36170212766
27.0,1.0,neutral,cigarette,72.0,47.0,0.191489361702
27.0,1.0,neutral,neutral,72.0,47.0,0.446808510638
28.0,1.0,neutral,alcohol,72.0,4.0,0.0
28.0,1.0,neutral,cigarette,72.0,4.0,0.5
28.0,1.0,neutral,neutral,72.0,4.0,0.5
29.0,1.0,neutral,alcohol,72.0,0.0,
29.0,1.0,neutral,cigarette,72.0,0.0,
29.0,1.0,neutral,neutral,72.0,0.0,
