sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
24.0,3.0,alcohol,neutral,732.0,4.0,0.428571428571
25.0,3.0,alcohol,alcohol,732.0,4.0,0.307692307692
25.0,3.0,alcohol,cigarette,732.0,4.0,0.384615384615
25.0,3.0,alcohol,neutral,732.0,4.0,0.307692307692
26.0,3.0,alcohol,alcohol,732.0,4.0,
26.0,3.0,alcohol,cigarette,732.0,4.0,
26.0,3.0,alcohol,neutral,732.0,4.0,
27.0,3.0,alcohol,alcohol,732.0,4.0,
27.0,3.0,alcohol,cigarette,732.0,4.0,
27.0,3.0,alcohol,neutral,732.0,4.0,
28.0,3.0,alcohol,alcohol,732.0,4.0,0.461538461538
28.0,3.0,alcohol,cigarette,732.0,4.0,0.461538461538
28.0,3.0,alcohol,neutral,732.0,4.0,0.0769230769231
29.0,3.0,alcohol,alcohol,732.0,4.0,0.481481481481
29.0,3.0,alcohol,cigarette,732.0,4.0,0.333333333333
29.0,3.0,alcohol,neutral,732.0,4.0,0.185185185185
1.0,3.0,cigarette,alcohol,732.0,0.0,
1.0,3.0,cigarette,cigarette,732.0,0.0,
1.0,3.0,cigarette,neutral,732.0,0.0,
2.0,3.0,cigarette,alcohol,732.0,0.0,
2.0,3.0,cigarette,cigarette,732.0,0.0,
2.0,3.0,cigarette,neutral,732.0,0.0,
3.0,3.0,cigarette,alcohol,732.0,0.0,
3.0,3.0,cigarette,cigarette,732.0,0.0,
3.0,3.0,cigarette,neutral,732.0,0.0,
4.0,3.0,cigarette,alcohol,732.0,0.0,
4.0,3.0,cigarette,cigarette,732.0,0.0,
4.0,3.0,cigarette,neutral,732.0,0.0,
5.0,3.0,cigarette,alcohol,732.0,0.0,0.25
5.0,3.0,cigarette,cigarette,732.0,0.0,0.5
5.0,3.0,cigarette,neutral,732.0,0.0,0.25
6.0,3.0,cigarette,alcohol,732.0,0.0,0.421052631579
6.0,3.0,cigarette,cigarette,732.0,0.0,0.368421052632
6.0,3.0,cigarette,neutral,732.0,0.0,0.210526315789
7.0,3.0,cigarette,alcohol,732.0,0.0,0.166666666667
7.0,3.0,cigarette,cigarette,732.0,0.0,0.833333333333
7.0,3.0,cigarette,neutral,732.0,0.0,0.0
8.0,3.0,cigarette,alcohol,732.0,0.0,0.4
8.0,3.0,cigarette,cigarette,732.0,0.0,0.4
8.0,3.0,cigarette,neutral,732.0,0.0,0.2
9.0,3.0,cigarette,alcohol,732.0,0.0,
9.0,3.0,cigarette,cigarette,732.0,0.0,
9.0,3.0,cigarette,neutral,732.0,0.0,
10.0,3.0,cigarette,alcohol,732.0,0.0,0.0
10.0,3.0,cigarette,cigarette,732.0,0.0,1.0
10.0,3.0,cigarette,neutral,732.0,0.0,0.0
11.0,3.0,cigarette,alcohol,732.0,0.0,0.333333333333
11.0,3.0,cigarette,cigarette,732.0,0.0,0.5
11.0,3.0,cigarette,neutral,732.0,0.0,0.166666666667
12.0,3.0,cigarette,alcohol,732.0,0.0,
12.0,3.0,cigarette,cigarette,732.0,0.0,
12.0,3.0,cigarette,neutral,732.0,0.0,
13.0,3.0,cigarette,alcohol,732.0,0.0,
13.0,3.0,cigarette,cigarette,732.0,0.0,
13.0,3.0,cigarette,neutral,732.0,0.0,
14.0,3.0,cigarette,alcohol,732.0,0.0,
14.0,3.0,cigarette,cigarette,732.0,0.0,
14.0,3.0,cigarette,neutral,732.0,0.0,
15.0,3.0,cigarette,alcohol,732.0,0.0,0.428571428571
15.0,3.0,cigarette,cigarette,732.0,0.0,0.285714285714
15.0,3.0,cigarette,neutral,732.0,0.0,0.285714285714
16.0,3.0,cigarette,alcohol,732.0,0.0,0.25
16.0,3.0,cigarette,cigarette,732.0,0.0,0.25
16.0,3.0,cigarette,neutral,732.0,0.0,0.5
17.0,3.0,cigarette,alcohol,732.0,0.0,
17.0,3.0,cigarette,cigarette,732.0,0.0,
17.0,3.0,cigarette,neutral,732.0,0.0,
18.0,3.0,cigarette,alcohol,732.0,0.0,
18.0,3.0,cigarette,cigarette,732.0,0.0,
18.0,3.0,cigarette,neutral,732.0,0.0,
19.0,3.0,cigarette,alcohol,732.0,0.0,
19.0,3.0,cigarette,cigarette,732.0,0.0,
19.0,3.0,cigarette,neutral,732.0,0.0,
20.0,3.0,cigarette,alcohol,732.0,0.0,
20.0,3.0,cigarette,cigarette,732.0,0.0,
20.0,3.0,cigarette,neutral,732.0,0.0,
21.0,3.0,cigarette,alcohol,732.0,0.0,0.5
21.0,3.0,cigarette,cigarette,732.0,0.0,0.25
21.0,3.0,cigarette,neutral,732.0,0.0,0.25
22.0,3.0,cigarette,alcohol,732.0,0.0,0.0
22.0,3.0,cigarette,cigarette,732.0,0.0,1.0
22.0,3.0,cigarette,neutral,732.0,0.0,0.0
23.0,3.0,cigarette,alcohol,732.0,0.0,1.0
23.0,3.0,cigarette,cigarette,732.0,0.0,0.0
23.0,3.0,cigarette,neutral,732.0,0.0,0.0
24.0,3.0,cigarette,alcohol,732.0,0.0,0.0
24.0,3.0,cigarette,cigarette,732.0,0.0,1.0
24.0,3.0,cigarette,neutral,732.0,0.0,0.0
25.0,3.0,cigarette,alcohol,732.0,0.0,
25.0,3.0,cigarette,cigarette,732.0,0.0,
25.0,3.0,cigarette,neutral,732.0,0.0,
26.0,3.0,cigarette,alcohol,732.0,0.0,0.0
26.0,3.0,cigarette,cigarette,732.0,0.0,0.25
26.0,3.0,cigarette,neutral,732.0,0.0,0.75
27.0,3.0,cigarette,alcohol,732.0,0.0,0.153846153846
27.0,3.0,cigarette,cigarette,732.0,0.0,0.615384615385
27.0,3.0,cigarette,neutral,732.0,0.0,0.230769230769
28.0,3.0,cigarette,alcohol,732.0,0.0,
28.0,3.0,cigarette,cigarette,732.0,0.0,
28.0,3.0,cigarette,neutral,732.0,0.0,
29.0,3.0,cigarette,alcohol,732.0,0.0,0.666666666667
29.0,3.0,cigarette,cigarette,732.0,0.0,0.333333333333
29.0,3.0,cigarette,neutral,732.0,0.0,0.0
1.0,3.0,neutral,alcohol,732.0,0.0,
1.0,3.0,neutral,cigarette,732.0,0.0,
1.0,3.0,neutral,neutral,732.0,0.0,
2.0,3.0,neutral,alcohol,732.0,0.0,
2.0,3.0,neutral,cigarette,732.0,0.0,
2.0,3.0,neutral,neutral,732.0,0.0,
3.0,3.0,neutral,alcohol,732.0,0.0,
3.0,3.0,neutral,cigarette,732.0,0.0,
3.0,3.0,neutral,neutral,732.0,0.0,
4.0,3.0,neutral,alcohol,732.0,0.0,
4.0,3.0,neutral,cigarette,732.0,0.0,
4.0,3.0,neutral,neutral,732.0,0.0,
5.0,3.0,neutral,alcohol,732.0,0.0,0.25
5.0,3.0,neutral,cigarette,732.0,0.0,0.5
5.0,3.0,neutral,neutral,732.0,0.0,0.25
6.0,3.0,neutral,alcohol,732.0,0.0,
6.0,3.0,neutral,cigarette,732.0,0.0,
6.0,3.0,neutral,neutral,732.0,0.0,
7.0,3.0,neutral,alcohol,732.0,0.0,
7.0,3.0,neutral,cigarette,732.0,0.0,
7.0,3.0,neutral,neutral,732.0,0.0,
8.0,3.0,neutral,alcohol,732.0,0.0,1.0
8.0,3.0,neutral,cigarette,732.0,0.0,0.0
8.0,3.0,neutral,neutral,732.0,0.0,0.0
9.0,3.0,neutral,alcohol,732.0,0.0,0.666666666667
9.0,3.0,neutral,cigarette,732.0,0.0,0.0
9.0,3.0,neutral,neutral,732.0,0.0,0.333333333333
10.0,3.0,neutral,alcohol,732.0,0.0,
10.0,3.0,neutral,cigarette,732.0,0.0,
10.0,3.0,neutral,neutral,732.0,0.0,
11.0,3.0,neutral,alcohol,732.0,0.0,
11.0,3.0,neutral,cigarette,732.0,0.0,
11.0,3.0,neutral,neutral,732.0,0.0,
12.0,3.0,neutral,alcohol,732.0,0.0,
12.0,3.0,neutral,cigarette,732.0,0.0,
12.0,3.0,neutral,neutral,732.0,0.0,
13.0,3.0,neutral,alcohol,732.0,0.0,0.3
13.0,3.0,neutral,cigarette,732.0,0.0,0.15
13.0,3.0,neutral,neutral,732.0,0.0,0.55
14.0,3.0,neutral,alcohol,732.0,0.0,
14.0,3.0,neutral,cigarette,732.0,0.0,
14.0,3.0,neutral,neutral,732.0,0.0,
15.0,3.0,neutral,alcohol,732.0,0.0,
15.0,3.0,neutral,cigarette,732.0,0.0,
15.0,3.0,neutral,neutral,732.0,0.0,
16.0,3.0,neutral,alcohol,732.0,0.0,0.666666666667
16.0,3.0,neutral,cigarette,732.0,0.0,0.333333333333
16.0,3.0,neutral,neutral,732.0,0.0,0.0
17.0,3.0,neutral,alcohol,732.0,0.0,0.0
17.0,3.0,neutral,cigarette,732.0,0.0,0.333333333333
17.0,3.0,neutral,neutral,732.0,0.0,0.666666666667
18.0,3.0,neutral,alcohol,732.0,0.0,
18.0,3.0,neutral,cigarette,732.0,0.0,
18.0,3.0,neutral,neutral,732.0,0.0,
19.0,3.0,neutral,alcohol,732.0,0.0,0.0
19.0,3.0,neutral,cigarette,732.0,0.0,0.0
19.0,3.0,neutral,neutral,732.0,0.0,1.0
20.0,3.0,neutral,alcohol,732.0,0.0,0.0
20.0,3.0,neutral,cigarette,732.0,0.0,0.142857142857
20.0,3.0,neutral,neutral,732.0,0.0,0.857142857143
21.0,3.0,neutral,alcohol,732.0,0.0,0.0
21.0,3.0,neutral,cigarette,732.0,0.0,0.0
21.0,3.0,neutral,neutral,732.0,0.0,1.0
22.0,3.0,neutral,alcohol,732.0,0.0,
22.0,3.0,neutral,cigarette,732.0,0.0,
22.0,3.0,neutral,neutral,732.0,0.0,
23.0,3.0,neutral,alcohol,732.0,0.0,
23.0,3.0,neutral,cigarette,732.0,0.0,
23.0,3.0,neutral,neutral,732.0,0.0,
24.0,3.0,neutral,alcohol,732.0,0.0,0.666666666667
24.0,3.0,neutral,cigarette,732.0,0.0,0.0
24.0,3.0,neutral,neutral,732.0,0.0,0.333333333333
25.0,3.0,neutral,alcohol,732.0,0.0,1.0
25.0,3.0,neutral,cigarette,732.0,0.0,0.0
25.0,3.0,neutral,neutral,732.0,0.0,0.0
26.0,3.0,neutral,alcohol,732.0,0.0,0.125
26.0,3.0,neutral,cigarette,732.0,0.0,0.0
26.0,3.0,neutral,neutral,732.0,0.0,0.875
27.0,3.0,neutral,alcohol,732.0,0.0,0.75
27.0,3.0,neutral,cigarette,732.0,0.0,0.0
27.0,3.0,neutral,neutral,732.0,0.0,0.25
28.0,3.0,neutral,alcohol,732.0,0.0,0.0
28.0,3.0,neutral,cigarette,732.0,0.0,0.0
28.0,3.0,neutral,neutral,732.0,0.0,1.0
29.0,3.0,neutral,alcohol,732.0,0.0,
29.0,3.0,neutral,cigarette,732.0,0.0,
29.0,3.0,neutral,neutral,732.0,0.0,
