sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
24.0,3.0,alcohol,neutral,552.0,4.0,0.4
25.0,3.0,alcohol,alcohol,552.0,4.0,0.352941176471
25.0,3.0,alcohol,cigarette,552.0,4.0,0.411764705882
25.0,3.0,alcohol,neutral,552.0,4.0,0.235294117647
26.0,3.0,alcohol,alcohol,552.0,4.0,
26.0,3.0,alcohol,cigarette,552.0,4.0,
26.0,3.0,alcohol,neutral,552.0,4.0,
27.0,3.0,alcohol,alcohol,552.0,4.0,
27.0,3.0,alcohol,cigarette,552.0,4.0,
27.0,3.0,alcohol,neutral,552.0,4.0,
28.0,3.0,alcohol,alcohol,552.0,4.0,0.526315789474
28.0,3.0,alcohol,cigarette,552.0,4.0,0.263157894737
28.0,3.0,alcohol,neutral,552.0,4.0,0.210526315789
29.0,3.0,alcohol,alcohol,552.0,4.0,0.769230769231
29.0,3.0,alcohol,cigarette,552.0,4.0,0.115384615385
29.0,3.0,alcohol,neutral,552.0,4.0,0.115384615385
1.0,3.0,cigarette,alcohol,552.0,0.0,
1.0,3.0,cigarette,cigarette,552.0,0.0,
1.0,3.0,cigarette,neutral,552.0,0.0,
2.0,3.0,cigarette,alcohol,552.0,0.0,
2.0,3.0,cigarette,cigarette,552.0,0.0,
2.0,3.0,cigarette,neutral,552.0,0.0,
3.0,3.0,cigarette,alcohol,552.0,0.0,
3.0,3.0,cigarette,cigarette,552.0,0.0,
3.0,3.0,cigarette,neutral,552.0,0.0,
4.0,3.0,cigarette,alcohol,552.0,0.0,
4.0,3.0,cigarette,cigarette,552.0,0.0,
4.0,3.0,cigarette,neutral,552.0,0.0,
5.0,3.0,cigarette,alcohol,552.0,0.0,0.333333333333
5.0,3.0,cigarette,cigarette,552.0,0.0,0.166666666667
5.0,3.0,cigarette,neutral,552.0,0.0,0.5
6.0,3.0,cigarette,alcohol,552.0,0.0,0.208333333333
6.0,3.0,cigarette,cigarette,552.0,0.0,0.583333333333
6.0,3.0,cigarette,neutral,552.0,0.0,0.208333333333
7.0,3.0,cigarette,alcohol,552.0,0.0,0.1
7.0,3.0,cigarette,cigarette,552.0,0.0,0.7
7.0,3.0,cigarette,neutral,552.0,0.0,0.2
8.0,3.0,cigarette,alcohol,552.0,0.0,0.166666666667
8.0,3.0,cigarette,cigarette,552.0,0.0,0.666666666667
8.0,3.0,cigarette,neutral,552.0,0.0,0.166666666667
9.0,3.0,cigarette,alcohol,552.0,0.0,0.5
9.0,3.0,cigarette,cigarette,552.0,0.0,0.5
9.0,3.0,cigarette,neutral,552.0,0.0,0.0
10.0,3.0,cigarette,alcohol,552.0,0.0,0.5
10.0,3.0,cigarette,cigarette,552.0,0.0,0.5
10.0,3.0,cigarette,neutral,552.0,0.0,0.0
11.0,3.0,cigarette,alcohol,552.0,0.0,0.222222222222
11.0,3.0,cigarette,cigarette,552.0,0.0,0.444444444444
11.0,3.0,cigarette,neutral,552.0,0.0,0.333333333333
12.0,3.0,cigarette,alcohol,552.0,0.0,
12.0,3.0,cigarette,cigarette,552.0,0.0,
12.0,3.0,cigarette,neutral,552.0,0.0,
13.0,3.0,cigarette,alcohol,552.0,0.0,
13.0,3.0,cigarette,cigarette,552.0,0.0,
13.0,3.0,cigarette,neutral,552.0,0.0,
14.0,3.0,cigarette,alcohol,552.0,0.0,
14.0,3.0,cigarette,cigarette,552.0,0.0,
14.0,3.0,cigarette,neutral,552.0,0.0,
15.0,3.0,cigarette,alcohol,552.0,0.0,0.4
15.0,3.0,cigarette,cigarette,552.0,0.0,0.3
15.0,3.0,cigarette,neutral,552.0,0.0,0.3
16.0,3.0,cigarette,alcohol,552.0,0.0,0.0
16.0,3.0,cigarette,cigarette,552.0,0.0,0.666666666667
16.0,3.0,cigarette,neutral,552.0,0.0,0.333333333333
17.0,3.0,cigarette,alcohol,552.0,0.0,
17.0,3.0,cigarette,cigarette,552.0,0.0,
17.0,3.0,cigarette,neutral,552.0,0.0,
18.0,3.0,cigarette,alcohol,552.0,0.0,
18.0,3.0,cigarette,cigarette,552.0,0.0,
18.0,3.0,cigarette,neutral,552.0,0.0,
19.0,3.0,cigarette,alcohol,552.0,0.0,
19.0,3.0,cigarette,cigarette,552.0,0.0,
19.0,3.0,cigarette,neutral,552.0,0.0,
20.0,3.0,cigarette,alcohol,552.0,0.0,
20.0,3.0,cigarette,cigarette,552.0,0.0,
20.0,3.0,cigarette,neutral,552.0,0.0,
21.0,3.0,cigarette,alcohol,552.0,0.0,0.285714285714
21.0,3.0,cigarette,cigarette,552.0,0.0,0.285714285714
21.0,3.0,cigarette,neutral,552.0,0.0,0.428571428571
22.0,3.0,cigarette,alcohol,552.0,0.0,0.0
22.0,3.0,cigarette,cigarette,552.0,0.0,0.75
22.0,3.0,cigarette,neutral,552.0,0.0,0.25
23.0,3.0,cigarette,alcohol,552.0,0.0,1.0
23.0,3.0,cigarette,cigarette,552.0,0.0,0.0
23.0,3.0,cigarette,neutral,552.0,0.0,0.0
24.0,3.0,cigarette,alcohol,552.0,0.0,0.0
24.0,3.0,cigarette,cigarette,552.0,0.0,0.666666666667
24.0,3.0,cigarette,neutral,552.0,0.0,0.333333333333
25.0,3.0,cigarette,alcohol,552.0,0.0,1.0
25.0,3.0,cigarette,cigarette,552.0,0.0,0.0
25.0,3.0,cigarette,neutral,552.0,0.0,0.0
26.0,3.0,cigarette,alcohol,552.0,0.0,0.333333333333
26.0,3.0,cigarette,cigarette,552.0,0.0,0.0
26.0,3.0,cigarette,neutral,552.0,0.0,0.666666666667
27.0,3.0,cigarette,alcohol,552.0,0.0,0.117647058824
27.0,3.0,cigarette,cigarette,552.0,0.0,0.588235294118
27.0,3.0,cigarette,neutral,552.0,0.0,0.294117647059
28.0,3.0,cigarette,alcohol,552.0,0.0,0.0
28.0,3.0,cigarette,cigarette,552.0,0.0,1.0
28.0,3.0,cigarette,neutral,552.0,0.0,0.0
29.0,3.0,cigarette,alcohol,552.0,0.0,0.333333333333
29.0,3.0,cigarette,cigarette,552.0,0.0,0.666666666667
29.0,3.0,cigarette,neutral,552.0,0.0,0.0
1.0,3.0,neutral,alcohol,552.0,0.0,
1.0,3.0,neutral,cigarette,552.0,0.0,
1.0,3.0,neutral,neutral,552.0,0.0,
2.0,3.0,neutral,alcohol,552.0,0.0,
2.0,3.0,neutral,cigarette,552.0,0.0,
2.0,3.0,neutral,neutral,552.0,0.0,
3.0,3.0,neutral,alcohol,552.0,0.0,
3.0,3.0,neutral,cigarette,552.0,0.0,
3.0,3.0,neutral,neutral,552.0,0.0,
4.0,3.0,neutral,alcohol,552.0,0.0,
4.0,3.0,neutral,cigarette,552.0,0.0,
4.0,3.0,neutral,neutral,552.0,0.0,
5.0,3.0,neutral,alcohol,552.0,0.0,0.5
5.0,3.0,neutral,cigarette,552.0,0.0,0.0
5.0,3.0,neutral,neutral,552.0,0.0,0.5
6.0,3.0,neutral,alcohol,552.0,0.0,
6.0,3.0,neutral,cigarette,552.0,0.0,
6.0,3.0,neutral,neutral,552.0,0.0,
7.0,3.0,neutral,alcohol,552.0,0.0,
7.0,3.0,neutral,cigarette,552.0,0.0,
7.0,3.0,neutral,neutral,552.0,0.0,
8.0,3.0,neutral,alcohol,552.0,0.0,0.25
8.0,3.0,neutral,cigarette,552.0,0.0,0.0
8.0,3.0,neutral,neutral,552.0,0.0,0.75
9.0,3.0,neutral,alcohol,552.0,0.0,0.0
9.0,3.0,neutral,cigarette,552.0,0.0,0.4
9.0,3.0,neutral,neutral,552.0,0.0,0.6
10.0,3.0,neutral,alcohol,552.0,0.0,
10.0,3.0,neutral,cigarette,552.0,0.0,
10.0,3.0,neutral,neutral,552.0,0.0,
11.0,3.0,neutral,alcohol,552.0,0.0,
11.0,3.0,neutral,cigarette,552.0,0.0,
11.0,3.0,neutral,neutral,552.0,0.0,
12.0,3.0,neutral,alcohol,552.0,0.0,
12.0,3.0,neutral,cigarette,552.0,0.0,
12.0,3.0,neutral,neutral,552.0,0.0,
13.0,3.0,neutral,alcohol,552.0,0.0,0.333333333333
13.0,3.0,neutral,cigarette,552.0,0.0,0.185185185185
13.0,3.0,neutral,neutral,552.0,0.0,0.481481481481
14.0,3.0,neutral,alcohol,552.0,0.0,
14.0,3.0,neutral,cigarette,552.0,0.0,
14.0,3.0,neutral,neutral,552.0,0.0,
15.0,3.0,neutral,alcohol,552.0,0.0,
15.0,3.0,neutral,cigarette,552.0,0.0,
15.0,3.0,neutral,neutral,552.0,0.0,
16.0,3.0,neutral,alcohol,552.0,0.0,0.5
16.0,3.0,neutral,cigarette,552.0,0.0,0.25
16.0,3.0,neutral,neutral,552.0,0.0,0.25
17.0,3.0,neutral,alcohol,552.0,0.0,0.0
17.0,3.0,neutral,cigarette,552.0,0.0,0.428571428571
17.0,3.0,neutral,neutral,552.0,0.0,0.571428571429
18.0,3.0,neutral,alcohol,552.0,0.0,
18.0,3.0,neutral,cigarette,552.0,0.0,
18.0,3.0,neutral,neutral,552.0,0.0,
19.0,3.0,neutral,alcohol,552.0,0.0,0.0
19.0,3.0,neutral,cigarette,552.0,0.0,0.0
19.0,3.0,neutral,neutral,552.0,0.0,1.0
20.0,3.0,neutral,alcohol,552.0,0.0,0.0
20.0,3.0,neutral,cigarette,552.0,0.0,0.222222222222
20.0,3.0,neutral,neutral,552.0,0.0,0.777777777778
21.0,3.0,neutral,alcohol,552.0,0.0,0.0
21.0,3.0,neutral,cigarette,552.0,0.0,0.0
21.0,3.0,neutral,neutral,552.0,0.0,1.0
22.0,3.0,neutral,alcohol,552.0,0.0,
22.0,3.0,neutral,cigarette,552.0,0.0,
22.0,3.0,neutral,neutral,552.0,0.0,
23.0,3.0,neutral,alcohol,552.0,0.0,0.0
23.0,3.0,neutral,cigarette,552.0,0.0,1.0
23.0,3.0,neutral,neutral,552.0,0.0,0.0
24.0,3.0,neutral,alcohol,552.0,0.0,0.4
24.0,3.0,neutral,cigarette,552.0,0.0,0.2
24.0,3.0,neutral,neutral,552.0,0.0,0.4
25.0,3.0,neutral,alcohol,552.0,0.0,1.0
25.0,3.0,neutral,cigarette,552.0,0.0,0.0
25.0,3.0,neutral,neutral,552.0,0.0,0.0
26.0,3.0,neutral,alcohol,552.0,0.0,0.222222222222
26.0,3.0,neutral,cigarette,552.0,0.0,0.333333333333
26.0,3.0,neutral,neutral,552.0,0.0,0.444444444444
27.0,3.0,neutral,alcohol,552.0,0.0,0.5
27.0,3.0,neutral,cigarette,552.0,0.0,0.333333333333
27.0,3.0,neutral,neutral,552.0,0.0,0.166666666667
28.0,3.0,neutral,alcohol,552.0,0.0,0.0
28.0,3.0,neutral,cigarette,552.0,0.0,0.0
28.0,3.0,neutral,neutral,552.0,0.0,1.0
29.0,3.0,neutral,alcohol,552.0,0.0,
29.0,3.0,neutral,cigarette,552.0,0.0,
29.0,3.0,neutral,neutral,552.0,0.0,
