sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
1.0,4.0,alcohol,alcohol,568.0,1.0,0.0
1.0,4.0,alcohol,cigarette,568.0,1.0,1.0
1.0,4.0,alcohol,neutral,568.0,1.0,0.0
2.0,4.0,alcohol,alcohol,568.0,1.0,0.0
2.0,4.0,alcohol,cigarette,568.0,1.0,1.0
2.0,4.0,alcohol,neutral,568.0,1.0,0.0
3.0,4.0,alcohol,alcohol,568.0,1.0,0.714285714286
3.0,4.0,alcohol,cigarette,568.0,1.0,0.0
3.0,4.0,alcohol,neutral,568.0,1.0,0.285714285714
4.0,4.0,alcohol,alcohol,568.0,1.0,
4.0,4.0,alcohol,cigarette,568.0,1.0,
4.0,4.0,alcohol,neutral,568.0,1.0,
5.0,4.0,alcohol,alcohol,568.0,1.0,0.555555555556
5.0,4.0,alcohol,cigarette,568.0,1.0,0.111111111111
5.0,4.0,alcohol,neutral,568.0,1.0,0.333333333333
6.0,4.0,alcohol,alcohol,568.0,1.0,
6.0,4.0,alcohol,cigarette,568.0,1.0,
6.0,4.0,alcohol,neutral,568.0,1.0,
7.0,4.0,alcohol,alcohol,568.0,1.0,
7.0,4.0,alcohol,cigarette,568.0,1.0,
7.0,4.0,alcohol,neutral,568.0,1.0,
8.0,4.0,alcohol,alcohol,568.0,1.0,0.555555555556
8.0,4.0,alcohol,cigarette,568.0,1.0,0.444444444444
8.0,4.0,alcohol,neutral,568.0,1.0,0.0
9.0,4.0,alcohol,alcohol,568.0,1.0,0.0
9.0,4.0,alcohol,cigarette,568.0,1.0,0.5
9.0,4.0,alcohol,neutral,568.0,1.0,0.5
10.0,4.0,alcohol,alcohol,568.0,1.0,0.333333333333
10.0,4.0,alcohol,cigarette,568.0,1.0,0.166666666667
10.0,4.0,alcohol,neutral,568.0,1.0,0.5
11.0,4.0,alcohol,alcohol,568.0,1.0,1.0
11.0,4.0,alcohol,cigarette,568.0,1.0,0.0
11.0,4.0,alcohol,neutral,568.0,1.0,0.0
12.0,4.0,alcohol,alcohol,568.0,1.0,
12.0,4.0,alcohol,cigarette,568.0,1.0,
12.0,4.0,alcohol,neutral,568.0,1.0,
13.0,4.0,alcohol,alcohol,568.0,1.0,
13.0,4.0,alcohol,cigarette,568.0,1.0,
13.0,4.0,alcohol,neutral,568.0,1.0,
14.0,4.0,alcohol,alcohol,568.0,1.0,0.684210526316
14.0,4.0,alcohol,cigarette,568.0,1.0,0.210526315789
14.0,4.0,alcohol,neutral,568.0,1.0,0.105263157895
15.0,4.0,alcohol,alcohol,568.0,1.0,
15.0,4.0,alcohol,cigarette,568.0,1.0,
15.0,4.0,alcohol,neutral,568.0,1.0,
16.0,4.0,alcohol,alcohol,568.0,1.0,1.0
16.0,4.0,alcohol,cigarette,568.0,1.0,0.0
16.0,4.0,alcohol,neutral,568.0,1.0,0.0
17.0,4.0,alcohol,alcohol,568.0,1.0,0.6
17.0,4.0,alcohol,cigarette,568.0,1.0,0.1
17.0,4.0,alcohol,neutral,568.0,1.0,0.3
18.0,4.0,alcohol,alcohol,568.0,1.0,0.7
18.0,4.0,alcohol,cigarette,568.0,1.0,0.1
18.0,4.0,alcohol,neutral,568.0,1.0,0.2
19.0,4.0,alcohol,alcohol,568.0,1.0,0.5
19.0,4.0,alcohol,cigarette,568.0,1.0,0.25
19.0,4.0,alcohol,neutral,568.0,1.0,0.25
20.0,4.0,alcohol,alcohol,568.0,1.0,0.571428571429
20.0,4.0,alcohol,cigarette,568.0,1.0,0.428571428571
20.0,4.0,alcohol,neutral,568.0,1.0,0.0
21.0,4.0,alcohol,alcohol,568.0,1.0,0.571428571429
21.0,4.0,alcohol,cigarette,568.0,1.0,0.428571428571
21.0,4.0,alcohol,neutral,568.0,1.0,0.0
22.0,4.0,alcohol,alcohol,568.0,1.0,0.571428571429
22.0,4.0,alcohol,cigarette,568.0,1.0,0.285714285714
22.0,4.0,alcohol,neutral,568.0,1.0,0.142857142857
23.0,4.0,alcohol,alcohol,568.0,1.0,0.222222222222
23.0,4.0,alcohol,cigarette,568.0,1.0,0.555555555556
23.0,4.0,alcohol,neutral,568.0,1.0,0.222222222222
24.0,4.0,alcohol,alcohol,568.0,1.0,0.5
24.0,4.0,alcohol,cigarette,568.0,1.0,0.0
24.0,4.0,alcohol,neutral,568.0,1.0,0.5
25.0,4.0,alcohol,alcohol,568.0,1.0,0.818181818182
25.0,4.0,alcohol,cigarette,568.0,1.0,0.0909090909091
25.0,4.0,alcohol,neutral,568.0,1.0,0.0909090909091
26.0,4.0,alcohol,alcohol,568.0,1.0,
26.0,4.0,alcohol,cigarette,568.0,1.0,
26.0,4.0,alcohol,neutral,568.0,1.0,
27.0,4.0,alcohol,alcohol,568.0,1.0,
27.0,4.0,alcohol,cigarette,568.0,1.0,
27.0,4.0,alcohol,neutral,568.0,1.0,
28.0,4.0,alcohol,alcohol,568.0,1.0,0.6
28.0,4.0,alcohol,cigarette,568.0,1.0,0.2
28.0,4.0,alcohol,neutral,568.0,1.0,0.2
29.0,4.0,alcohol,alcohol,568.0,1.0,0.727272727273
29.0,4.0,alcohol,cigarette,568.0,1.0,0.0909090909091
29.0,4.0,alcohol,neutral,568.0,1.0,0.181818181818
1.0,4.0,cigarette,alcohol,568.0,1.0,0.0
1.0,4.0,cigarette,cigarette,568.0,1.0,1.0
1.0,4.0,cigarette,neutral,568.0,1.0,0.0
2.0,4.0,cigarette,alcohol,568.0,1.0,0.454545454545
2.0,4.0,cigarette,cigarette,568.0,1.0,0.181818181818
2.0,4.0,cigarette,neutral,568.0,1.0,0.363636363636
3.0,4.0,cigarette,alcohol,568.0,1.0,
3.0,4.0,cigarette,cigarette,568.0,1.0,
3.0,4.0,cigarette,neutral,568.0,1.0,
4.0,4.0,cigarette,alcohol,568.0,1.0,
4.0,4.0,cigarette,cigarette,568.0,1.0,
4.0,4.0,cigarette,neutral,568.0,1.0,
5.0,4.0,cigarette,alcohol,568.0,1.0,0.0
5.0,4.0,cigarette,cigarette,568.0,1.0,0.6
5.0,4.0,cigarette,neutral,568.0,1.0,0.4
6.0,4.0,cigarette,alcohol,568.0,1.0,0.0909090909091
6.0,4.0,cigarette,cigarette,568.0,1.0,0.727272727273
6.0,4.0,cigarette,neutral,568.0,1.0,0.181818181818
7.0,4.0,cigarette,alcohol,568.0,1.0,0.0
7.0,4.0,cigarette,cigarette,568.0,1.0,1.0
7.0,4.0,cigarette,neutral,568.0,1.0,0.0
8.0,4.0,cigarette,alcohol,568.0,1.0,0.0
8.0,4.0,cigarette,cigarette,568.0,1.0,1.0
8.0,4.0,cigarette,neutral,568.0,1.0,0.0
9.0,4.0,cigarette,alcohol,568.0,1.0,0.5
9.0,4.0,cigarette,cigarette,568.0,1.0,0.5
9.0,4.0,cigarette,neutral,568.0,1.0,0.0
10.0,4.0,cigarette,alcohol,568.0,1.0,1.0
10.0,4.0,cigarette,cigarette,568.0,1.0,0.0
10.0,4.0,cigarette,neutral,568.0,1.0,0.0
11.0,4.0,cigarette,alcohol,568.0,1.0,0.470588235294
11.0,4.0,cigarette,cigarette,568.0,1.0,0.176470588235
11.0,4.0,cigarette,neutral,568.0,1.0,0.352941176471
12.0,4.0,cigarette,alcohol,568.0,1.0,
12.0,4.0,cigarette,cigarette,568.0,1.0,
12.0,4.0,cigarette,neutral,568.0,1.0,
13.0,4.0,cigarette,alcohol,568.0,1.0,
13.0,4.0,cigarette,cigarette,568.0,1.0,
13.0,4.0,cigarette,neutral,568.0,1.0,
14.0,4.0,cigarette,alcohol,568.0,1.0,0.0
14.0,4.0,cigarette,cigarette,568.0,1.0,1.0
14.0,4.0,cigarette,neutral,568.0,1.0,0.0
15.0,4.0,cigarette,alcohol,568.0,1.0,0.2
15.0,4.0,cigarette,cigarette,568.0,1.0,0.7
15.0,4.0,cigarette,neutral,568.0,1.0,0.1
16.0,4.0,cigarette,alcohol,568.0,1.0,0.0
16.0,4.0,cigarette,cigarette,568.0,1.0,1.0
16.0,4.0,cigarette,neutral,568.0,1.0,0.0
17.0,4.0,cigarette,alcohol,568.0,1.0,
17.0,4.0,cigarette,cigarette,568.0,1.0,
17.0,4.0,cigarette,neutral,568.0,1.0,
18.0,4.0,cigarette,alcohol,568.0,1.0,0.0
18.0,4.0,cigarette,cigarette,568.0,1.0,1.0
18.0,4.0,cigarette,neutral,568.0,1.0,0.0
19.0,4.0,cigarette,alcohol,568.0,1.0,
19.0,4.0,cigarette,cigarette,568.0,1.0,
19.0,4.0,cigarette,neutral,568.0,1.0,
