sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
1.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
1.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
2.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
2.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
2.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
3.0,1.0,cigarette,alcohol,1872.0,2.0,1.0,0.5
3.0,1.0,cigarette,cigarette,1872.0,2.0,0.0,0.0
3.0,1.0,cigarette,neutral,1872.0,2.0,1.0,0.5
4.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
4.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
4.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
5.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
5.0,1.0,cigarette,cigarette,1872.0,1.0,1.0,1.0
5.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
6.0,1.0,cigarette,alcohol,1872.0,17.0,1.0,0.0588235294118
6.0,1.0,cigarette,cigarette,1872.0,17.0,15.0,0.882352941176
6.0,1.0,cigarette,neutral,1872.0,17.0,1.0,0.0588235294118
7.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
7.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
7.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
8.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
8.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
8.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
9.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
9.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
9.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
10.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
10.0,1.0,cigarette,cigarette,1872.0,1.0,1.0,1.0
10.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
11.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
11.0,1.0,cigarette,cigarette,1872.0,1.0,1.0,1.0
11.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
12.0,1.0,cigarette,alcohol,1872.0,1.0,1.0,1.0
12.0,1.0,cigarette,cigarette,1872.0,1.0,0.0,0.0
12.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
13.0,1.0,cigarette,alcohol,1872.0,10.0,1.0,0.1
13.0,1.0,cigarette,cigarette,1872.0,10.0,6.0,0.6
13.0,1.0,cigarette,neutral,1872.0,10.0,3.0,0.3
14.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
14.0,1.0,cigarette,cigarette,1872.0,1.0,1.0,1.0
14.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
15.0,1.0,cigarette,alcohol,1872.0,3.0,2.0,0.666666666667
15.0,1.0,cigarette,cigarette,1872.0,3.0,0.0,0.0
15.0,1.0,cigarette,neutral,1872.0,3.0,1.0,0.333333333333
16.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
16.0,1.0,cigarette,cigarette,1872.0,1.0,0.0,0.0
16.0,1.0,cigarette,neutral,1872.0,1.0,1.0,1.0
17.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
17.0,1.0,cigarette,cigarette,1872.0,1.0,1.0,1.0
17.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
18.0,1.0,cigarette,alcohol,1872.0,4.0,0.0,0.0
18.0,1.0,cigarette,cigarette,1872.0,4.0,2.0,0.5
18.0,1.0,cigarette,neutral,1872.0,4.0,2.0,0.5
19.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
19.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
19.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
20.0,1.0,cigarette,alcohol,1872.0,5.0,0.0,0.0
20.0,1.0,cigarette,cigarette,1872.0,5.0,4.0,0.8
20.0,1.0,cigarette,neutral,1872.0,5.0,1.0,0.2
21.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
21.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
21.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
22.0,1.0,cigarette,alcohol,1872.0,1.0,0.0,0.0
22.0,1.0,cigarette,cigarette,1872.0,1.0,1.0,1.0
22.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
23.0,1.0,cigarette,alcohol,1872.0,0.0,0.0,
23.0,1.0,cigarette,cigarette,1872.0,0.0,0.0,
23.0,1.0,cigarette,neutral,1872.0,0.0,0.0,
24.0,1.0,cigarette,alcohol,1872.0,1.0,1.0,1.0
24.0,1.0,cigarette,cigarette,1872.0,1.0,0.0,0.0
24.0,1.0,cigarette,neutral,1872.0,1.0,0.0,0.0
25.0,1.0,cigarette,alcohol,1872.0,5.0,1.0,0.2
25.0,1.0,cigarette,cigarette,1872.0,5.0,3.0,0.6
25.0,1.0,cigarette,neutral,1872.0,5.0,1.0,0.2
26.0,1.0,cigarette,alcohol,1872.0,8.0,0.0,0.0
26.0,1.0,cigarette,cigarette,1872.0,8.0,6.0,0.75
26.0,1.0,cigarette,neutral,1872.0,8.0,2.0,0.25
27.0,1.0,cigarette,alcohol,1872.0,5.0,1.0,0.2
27.0,1.0,cigarette,cigarette,1872.0,5.0,3.0,0.6
27.0,1.0,cigarette,neutral,1872.0,5.0,1.0,0.2
28.0,1.0,cigarette,alcohol,1872.0,4.0,1.0,0.25
28.0,1.0,cigarette,cigarette,1872.0,4.0,3.0,0.75
28.0,1.0,cigarette,neutral,1872.0,4.0,0.0,0.0
29.0,1.0,cigarette,alcohol,1872.0,48.0,15.0,0.3125
29.0,1.0,cigarette,cigarette,1872.0,48.0,23.0,0.479166666667
29.0,1.0,cigarette,neutral,1872.0,48.0,10.0,0.208333333333
1.0,1.0,alcohol,alcohol,1872.0,2.0,2.0,1.0
1.0,1.0,alcohol,cigarette,1872.0,2.0,0.0,0.0
1.0,1.0,alcohol,neutral,1872.0,2.0,0.0,0.0
2.0,1.0,alcohol,alcohol,1872.0,0.0,0.0,
2.0,1.0,alcohol,cigarette,1872.0,0.0,0.0,
2.0,1.0,alcohol,neutral,1872.0,0.0,0.0,
3.0,1.0,alcohol,alcohol,1872.0,0.0,0.0,
3.0,1.0,alcohol,cigarette,1872.0,0.0,0.0,
3.0,1.0,alcohol,neutral,1872.0,0.0,0.0,
4.0,1.0,alcohol,alcohol,1872.0,0.0,0.0,
4.0,1.0,alcohol,cigarette,1872.0,0.0,0.0,
4.0,1.0,alcohol,neutral,1872.0,0.0,0.0,
5.0,1.0,alcohol,alcohol,1872.0,1.0,0.0,0.0
5.0,1.0,alcohol,cigarette,1872.0,1.0,1.0,1.0
5.0,1.0,alcohol,neutral,1872.0,1.0,0.0,0.0
6.0,1.0,alcohol,alcohol,1872.0,0.0,0.0,
6.0,1.0,alcohol,cigarette,1872.0,0.0,0.0,
6.0,1.0,alcohol,neutral,1872.0,0.0,0.0,
