sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
27.0,1.0,ALC,neutral,1541.0,19.0,8.0,0.421052631579
28.0,1.0,ALC,alcohol,1541.0,9.0,2.0,0.222222222222
28.0,1.0,ALC,cigarette,1541.0,9.0,5.0,0.555555555556
28.0,1.0,ALC,neutral,1541.0,9.0,2.0,0.222222222222
29.0,1.0,ALC,alcohol,1541.0,0.0,0.0,
29.0,1.0,ALC,cigarette,1541.0,0.0,0.0,
29.0,1.0,ALC,neutral,1541.0,0.0,0.0,
1.0,1.0,CIG,alcohol,1541.0,3.0,2.0,0.666666666667
1.0,1.0,CIG,cigarette,1541.0,3.0,1.0,0.333333333333
1.0,1.0,CIG,neutral,1541.0,3.0,0.0,0.0
2.0,1.0,CIG,alcohol,1541.0,1.0,1.0,1.0
2.0,1.0,CIG,cigarette,1541.0,1.0,0.0,0.0
2.0,1.0,CIG,neutral,1541.0,1.0,0.0,0.0
3.0,1.0,CIG,alcohol,1541.0,4.0,1.0,0.25
3.0,1.0,CIG,cigarette,1541.0,4.0,2.0,0.5
3.0,1.0,CIG,neutral,1541.0,4.0,1.0,0.25
4.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
4.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
4.0,1.0,CIG,neutral,1541.0,0.0,0.0,
5.0,1.0,CIG,alcohol,1541.0,5.0,3.0,0.6
5.0,1.0,CIG,cigarette,1541.0,5.0,1.0,0.2
5.0,1.0,CIG,neutral,1541.0,5.0,1.0,0.2
6.0,1.0,CIG,alcohol,1541.0,19.0,2.0,0.105263157895
6.0,1.0,CIG,cigarette,1541.0,19.0,15.0,0.789473684211
6.0,1.0,CIG,neutral,1541.0,19.0,2.0,0.105263157895
7.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
7.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
7.0,1.0,CIG,neutral,1541.0,0.0,0.0,
8.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
8.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
8.0,1.0,CIG,neutral,1541.0,0.0,0.0,
9.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
9.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
9.0,1.0,CIG,neutral,1541.0,0.0,0.0,
10.0,1.0,CIG,alcohol,1541.0,1.0,0.0,0.0
10.0,1.0,CIG,cigarette,1541.0,1.0,0.0,0.0
10.0,1.0,CIG,neutral,1541.0,1.0,1.0,1.0
11.0,1.0,CIG,alcohol,1541.0,24.0,16.0,0.666666666667
11.0,1.0,CIG,cigarette,1541.0,24.0,6.0,0.25
11.0,1.0,CIG,neutral,1541.0,24.0,2.0,0.0833333333333
12.0,1.0,CIG,alcohol,1541.0,2.0,1.0,0.5
12.0,1.0,CIG,cigarette,1541.0,2.0,1.0,0.5
12.0,1.0,CIG,neutral,1541.0,2.0,0.0,0.0
13.0,1.0,CIG,alcohol,1541.0,12.0,2.0,0.166666666667
13.0,1.0,CIG,cigarette,1541.0,12.0,4.0,0.333333333333
13.0,1.0,CIG,neutral,1541.0,12.0,6.0,0.5
14.0,1.0,CIG,alcohol,1541.0,9.0,6.0,0.666666666667
14.0,1.0,CIG,cigarette,1541.0,9.0,2.0,0.222222222222
14.0,1.0,CIG,neutral,1541.0,9.0,1.0,0.111111111111
15.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
15.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
15.0,1.0,CIG,neutral,1541.0,0.0,0.0,
16.0,1.0,CIG,alcohol,1541.0,4.0,1.0,0.25
16.0,1.0,CIG,cigarette,1541.0,4.0,2.0,0.5
16.0,1.0,CIG,neutral,1541.0,4.0,1.0,0.25
17.0,1.0,CIG,alcohol,1541.0,5.0,2.0,0.4
17.0,1.0,CIG,cigarette,1541.0,5.0,3.0,0.6
17.0,1.0,CIG,neutral,1541.0,5.0,0.0,0.0
18.0,1.0,CIG,alcohol,1541.0,3.0,1.0,0.333333333333
18.0,1.0,CIG,cigarette,1541.0,3.0,2.0,0.666666666667
18.0,1.0,CIG,neutral,1541.0,3.0,0.0,0.0
19.0,1.0,CIG,alcohol,1541.0,2.0,2.0,1.0
19.0,1.0,CIG,cigarette,1541.0,2.0,0.0,0.0
19.0,1.0,CIG,neutral,1541.0,2.0,0.0,0.0
20.0,1.0,CIG,alcohol,1541.0,19.0,9.0,0.473684210526
20.0,1.0,CIG,cigarette,1541.0,19.0,8.0,0.421052631579
20.0,1.0,CIG,neutral,1541.0,19.0,2.0,0.105263157895
21.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
21.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
21.0,1.0,CIG,neutral,1541.0,0.0,0.0,
22.0,1.0,CIG,alcohol,1541.0,2.0,0.0,0.0
22.0,1.0,CIG,cigarette,1541.0,2.0,2.0,1.0
22.0,1.0,CIG,neutral,1541.0,2.0,0.0,0.0
23.0,1.0,CIG,alcohol,1541.0,1.0,1.0,1.0
23.0,1.0,CIG,cigarette,1541.0,1.0,0.0,0.0
23.0,1.0,CIG,neutral,1541.0,1.0,0.0,0.0
24.0,1.0,CIG,alcohol,1541.0,1.0,0.0,0.0
24.0,1.0,CIG,cigarette,1541.0,1.0,1.0,1.0
24.0,1.0,CIG,neutral,1541.0,1.0,0.0,0.0
25.0,1.0,CIG,alcohol,1541.0,15.0,7.0,0.466666666667
25.0,1.0,CIG,cigarette,1541.0,15.0,5.0,0.333333333333
25.0,1.0,CIG,neutral,1541.0,15.0,3.0,0.2
26.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
26.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
26.0,1.0,CIG,neutral,1541.0,0.0,0.0,
27.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
27.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
27.0,1.0,CIG,neutral,1541.0,0.0,0.0,
28.0,1.0,CIG,alcohol,1541.0,0.0,0.0,
28.0,1.0,CIG,cigarette,1541.0,0.0,0.0,
28.0,1.0,CIG,neutral,1541.0,0.0,0.0,
29.0,1.0,CIG,alcohol,1541.0,56.0,22.0,0.392857142857
29.0,1.0,CIG,cigarette,1541.0,56.0,17.0,0.303571428571
29.0,1.0,CIG,neutral,1541.0,56.0,17.0,0.303571428571
