sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,alcohol,alcohol,792.0,3.0,2.0,0.666666666667
1.0,3.0,alcohol,cigarette,792.0,3.0,0.0,0.0
1.0,3.0,alcohol,neutral,792.0,3.0,1.0,0.333333333333
2.0,3.0,alcohol,alcohol,792.0,5.0,2.0,0.4
2.0,3.0,alcohol,cigarette,792.0,5.0,3.0,0.6
2.0,3.0,alcohol,neutral,792.0,5.0,0.0,0.0
3.0,3.0,alcohol,alcohol,792.0,14.0,6.0,0.428571428571
3.0,3.0,alcohol,cigarette,792.0,14.0,3.0,0.214285714286
3.0,3.0,alcohol,neutral,792.0,14.0,5.0,0.357142857143
4.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
4.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
4.0,3.0,alcohol,neutral,792.0,0.0,0.0,
5.0,3.0,alcohol,alcohol,792.0,4.0,2.0,0.5
5.0,3.0,alcohol,cigarette,792.0,4.0,1.0,0.25
5.0,3.0,alcohol,neutral,792.0,4.0,1.0,0.25
6.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
6.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
6.0,3.0,alcohol,neutral,792.0,0.0,0.0,
7.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
7.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
7.0,3.0,alcohol,neutral,792.0,0.0,0.0,
8.0,3.0,alcohol,alcohol,792.0,3.0,3.0,1.0
8.0,3.0,alcohol,cigarette,792.0,3.0,0.0,0.0
8.0,3.0,alcohol,neutral,792.0,3.0,0.0,0.0
9.0,3.0,alcohol,alcohol,792.0,8.0,6.0,0.75
9.0,3.0,alcohol,cigarette,792.0,8.0,1.0,0.125
9.0,3.0,alcohol,neutral,792.0,8.0,1.0,0.125
10.0,3.0,alcohol,alcohol,792.0,17.0,9.0,0.529411764706
10.0,3.0,alcohol,cigarette,792.0,17.0,4.0,0.235294117647
10.0,3.0,alcohol,neutral,792.0,17.0,4.0,0.235294117647
11.0,3.0,alcohol,alcohol,792.0,18.0,10.0,0.555555555556
11.0,3.0,alcohol,cigarette,792.0,18.0,4.0,0.222222222222
11.0,3.0,alcohol,neutral,792.0,18.0,4.0,0.222222222222
12.0,3.0,alcohol,alcohol,792.0,5.0,4.0,0.8
12.0,3.0,alcohol,cigarette,792.0,5.0,0.0,0.0
12.0,3.0,alcohol,neutral,792.0,5.0,1.0,0.2
13.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
13.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
13.0,3.0,alcohol,neutral,792.0,0.0,0.0,
14.0,3.0,alcohol,alcohol,792.0,26.0,20.0,0.769230769231
14.0,3.0,alcohol,cigarette,792.0,26.0,3.0,0.115384615385
14.0,3.0,alcohol,neutral,792.0,26.0,3.0,0.115384615385
15.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
15.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
15.0,3.0,alcohol,neutral,792.0,0.0,0.0,
16.0,3.0,alcohol,alcohol,792.0,1.0,1.0,1.0
16.0,3.0,alcohol,cigarette,792.0,1.0,0.0,0.0
16.0,3.0,alcohol,neutral,792.0,1.0,0.0,0.0
17.0,3.0,alcohol,alcohol,792.0,5.0,3.0,0.6
17.0,3.0,alcohol,cigarette,792.0,5.0,0.0,0.0
17.0,3.0,alcohol,neutral,792.0,5.0,2.0,0.4
18.0,3.0,alcohol,alcohol,792.0,17.0,12.0,0.705882352941
18.0,3.0,alcohol,cigarette,792.0,17.0,1.0,0.0588235294118
18.0,3.0,alcohol,neutral,792.0,17.0,4.0,0.235294117647
19.0,3.0,alcohol,alcohol,792.0,14.0,14.0,1.0
19.0,3.0,alcohol,cigarette,792.0,14.0,0.0,0.0
19.0,3.0,alcohol,neutral,792.0,14.0,0.0,0.0
20.0,3.0,alcohol,alcohol,792.0,14.0,6.0,0.428571428571
20.0,3.0,alcohol,cigarette,792.0,14.0,2.0,0.142857142857
20.0,3.0,alcohol,neutral,792.0,14.0,6.0,0.428571428571
21.0,3.0,alcohol,alcohol,792.0,3.0,2.0,0.666666666667
21.0,3.0,alcohol,cigarette,792.0,3.0,1.0,0.333333333333
21.0,3.0,alcohol,neutral,792.0,3.0,0.0,0.0
22.0,3.0,alcohol,alcohol,792.0,7.0,4.0,0.571428571429
22.0,3.0,alcohol,cigarette,792.0,7.0,3.0,0.428571428571
22.0,3.0,alcohol,neutral,792.0,7.0,0.0,0.0
23.0,3.0,alcohol,alcohol,792.0,6.0,5.0,0.833333333333
23.0,3.0,alcohol,cigarette,792.0,6.0,1.0,0.166666666667
23.0,3.0,alcohol,neutral,792.0,6.0,0.0,0.0
24.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
24.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
24.0,3.0,alcohol,neutral,792.0,0.0,0.0,
25.0,3.0,alcohol,alcohol,792.0,13.0,6.0,0.461538461538
25.0,3.0,alcohol,cigarette,792.0,13.0,4.0,0.307692307692
25.0,3.0,alcohol,neutral,792.0,13.0,3.0,0.230769230769
26.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
26.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
26.0,3.0,alcohol,neutral,792.0,0.0,0.0,
27.0,3.0,alcohol,alcohol,792.0,0.0,0.0,
27.0,3.0,alcohol,cigarette,792.0,0.0,0.0,
27.0,3.0,alcohol,neutral,792.0,0.0,0.0,
28.0,3.0,alcohol,alcohol,792.0,13.0,7.0,0.538461538462
28.0,3.0,alcohol,cigarette,792.0,13.0,1.0,0.0769230769231
28.0,3.0,alcohol,neutral,792.0,13.0,5.0,0.384615384615
29.0,3.0,alcohol,alcohol,792.0,20.0,7.0,0.35
29.0,3.0,alcohol,cigarette,792.0,20.0,11.0,0.55
29.0,3.0,alcohol,neutral,792.0,20.0,2.0,0.1
1.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
1.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
1.0,3.0,cigarette,neutral,792.0,0.0,0.0,
2.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
2.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
2.0,3.0,cigarette,neutral,792.0,0.0,0.0,
3.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
3.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
3.0,3.0,cigarette,neutral,792.0,0.0,0.0,
4.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
4.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
4.0,3.0,cigarette,neutral,792.0,0.0,0.0,
5.0,3.0,cigarette,alcohol,792.0,1.0,0.0,0.0
5.0,3.0,cigarette,cigarette,792.0,1.0,1.0,1.0
5.0,3.0,cigarette,neutral,792.0,1.0,0.0,0.0
6.0,3.0,cigarette,alcohol,792.0,20.0,9.0,0.45
6.0,3.0,cigarette,cigarette,792.0,20.0,10.0,0.5
6.0,3.0,cigarette,neutral,792.0,20.0,1.0,0.05
7.0,3.0,cigarette,alcohol,792.0,1.0,1.0,1.0
7.0,3.0,cigarette,cigarette,792.0,1.0,0.0,0.0
7.0,3.0,cigarette,neutral,792.0,1.0,0.0,0.0
8.0,3.0,cigarette,alcohol,792.0,3.0,2.0,0.666666666667
8.0,3.0,cigarette,cigarette,792.0,3.0,1.0,0.333333333333
8.0,3.0,cigarette,neutral,792.0,3.0,0.0,0.0
9.0,3.0,cigarette,alcohol,792.0,2.0,1.0,0.5
9.0,3.0,cigarette,cigarette,792.0,2.0,1.0,0.5
9.0,3.0,cigarette,neutral,792.0,2.0,0.0,0.0
10.0,3.0,cigarette,alcohol,792.0,2.0,1.0,0.5
10.0,3.0,cigarette,cigarette,792.0,2.0,1.0,0.5
10.0,3.0,cigarette,neutral,792.0,2.0,0.0,0.0
11.0,3.0,cigarette,alcohol,792.0,7.0,2.0,0.285714285714
11.0,3.0,cigarette,cigarette,792.0,7.0,5.0,0.714285714286
11.0,3.0,cigarette,neutral,792.0,7.0,0.0,0.0
12.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
12.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
12.0,3.0,cigarette,neutral,792.0,0.0,0.0,
13.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
13.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
13.0,3.0,cigarette,neutral,792.0,0.0,0.0,
14.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
14.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
14.0,3.0,cigarette,neutral,792.0,0.0,0.0,
15.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
15.0,3.0,cigarette,cigarette,792.0,0.0,0.0,
15.0,3.0,cigarette,neutral,792.0,0.0,0.0,
16.0,3.0,cigarette,alcohol,792.0,2.0,1.0,0.5
16.0,3.0,cigarette,cigarette,792.0,2.0,1.0,0.5
16.0,3.0,cigarette,neutral,792.0,2.0,0.0,0.0
17.0,3.0,cigarette,alcohol,792.0,0.0,0.0,
